Team Name,W,L,SV,IP,R,HR,BB,K,WHIP,ERA,DP,PPG,FIP-
Tulsa Buckeyes,88,74,51,1458.0,810,212,567,1338,1.39,4.55,148,147,106
Las Vegas Whitehawks,102,61,60,1474.0,729,161,530,1248,1.32,4.19,140,143,95
Indianapolis Saints,90,72,44,1471.2,650,179,490,1331,1.23,3.69,142,139,94
Reno Blackhawks,78,84,43,1443.2,689,188,489,1184,1.29,3.97,134,139,101
Milwaukee Blue Hens,81,81,37,1450.0,740,204,540,1387,1.33,4.31,119,143,101
New York Outlaws,73,89,46,1437.2,671,207,455,1357,1.21,3.94,117,137,98
Miami Abbots,101,62,57,1475.1,723,195,483,1300,1.32,4.04,136,142,97
Seattle Hurons,84,78,46,1458.1,709,202,509,1258,1.26,4.05,133,140,103
Sacramento Railhawks,69,93,43,1446.0,752,182,478,1340,1.38,4.41,128,144,94
Phoenix Red Raiders,82,80,45,1444.0,729,188,517,1276,1.34,4.24,127,143,99
Portland Gunslingers,87,75,45,1456.0,681,157,512,1473,1.31,3.91,124,145,86
Los Angeles Motors,95,67,61,1453.2,672,182,483,1312,1.26,3.99,127,142,96
Honolulu Warlocks,83,79,46,1465.1,734,203,479,1415,1.35,4.17,146,146,96
Scottsdale Big Stick,79,83,49,1456.0,780,206,568,1281,1.36,4.40,129,145,105
Glendale Timberwolves,82,80,46,1453.1,706,165,465,1420,1.31,4.09,125,144,88
Mesa Flying Monkeys,75,87,39,1424.0,821,202,540,1332,1.47,4.90,104,144,103
Oklahoma City Fire Dogs,74,88,37,1448.1,751,218,518,1323,1.31,4.24,113,145,105
San Antonio Wolverines,71,91,40,1429.0,770,182,477,1316,1.37,4.55,118,143,96
Columbus Fighters,68,94,36,1464.1,837,204,519,1336,1.40,4.73,129,147,101
Memphis Trains,67,95,45,1451.2,823,197,623,1263,1.43,4.77,138,147,108
New Orleans Greyhounds,71,91,42,1431.2,826,206,540,1281,1.46,4.69,129,146,105
Omaha Tincaps,91,71,47,1453.0,639,175,526,1303,1.29,3.72,133,142,96
Boston Crawfish,78,84,51,1436.0,730,181,491,1272,1.37,4.21,101,144,97
Brooklyn Kings,85,77,43,1441.1,780,199,558,1206,1.40,4.65,135,145,107
Charlotte Grand Slam,74,88,44,1434.1,774,219,500,1252,1.36,4.57,102,143,107
Cleveland Clowns,83,79,47,1472.0,751,185,523,1441,1.39,4.33,114,149,93
Dallas Sunrays,79,83,45,1455.2,710,166,619,1358,1.30,4.07,99,144,96
Fresno Deputies,78,84,45,1454.0,699,186,504,1248,1.27,4.02,144,141,99
Newport News Peacocks,78,84,45,1450.0,667,208,496,1243,1.33,3.87,159,141,104
Philadelphia Lynx,94,68,45,1469.1,654,187,545,1288,1.25,3.75,145,144,100
San Jose Steelers,81,81,44,1456.1,723,177,486,1359,1.37,4.19,130,143,93
Baltimore Tyrants,72,90,42,1455.2,808,248,554,1268,1.38,4.69,114,143,114
