ID,Name,EXP,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
25,Gabriel Zamago,10,8,25,22,41,0,41,0,0,0,1.000,1.87,-3.4,.888,0,0,197.1,0,0,100.0%,21,21,92.3%,13,12,46.2%,13,6,40.0%,5,2,0.0%,8,0,16,0.0,-0.6
1920,Scott White,9,8,50,45,133,1,130,2,0,0,.985,2.86,3.4,1.045,0,0,412.1,0,0,100.0%,85,85,100.0%,22,22,56.2%,16,9,61.1%,18,11,27.3%,11,3,35,0.0,-2.7
3097,Joe Wheat,6,8,7,7,17,0,17,0,0,0,1.000,2.55,-0.8,.941,0,0,60.0,0,0,100.0%,7,7,85.7%,7,6,75.0%,4,3,33.3%,3,1,0.0%,4,0,6,0.0,1.6
684,Mike Weathersby,8,8,28,27,75,3,71,1,0,0,.987,2.59,0.1,1.026,0,0,257.1,0,0,100.0%,46,46,100.0%,12,12,58.3%,12,7,38.5%,13,5,12.5%,8,1,28,0.0,1.1
2200,Jeff Warner,9,8,137,137,365,10,353,2,1,0,.995,2.66,12.7,1.053,0,0,1226.2,0,0,100.0%,220,220,100.0%,61,61,93.3%,45,42,46.7%,45,21,19.6%,46,9,127,0.0,-4.3
1556,Jesus Velazquez,8,8,136,136,357,9,344,4,2,0,.989,2.58,-18.0,.927,0,0,1230.2,0,0,97.8%,226,221,88.3%,77,68,54.7%,53,29,38.2%,55,21,8.1%,62,5,103,0.0,-3.9
3589,Robert Vaca,11,8,2,2,9,0,9,0,0,0,1.000,4.76,0.5,.997,0,0,17.0,0,0,100.0%,5,5,100.0%,1,1,0.0%,0,0,100.0%,3,3,0.0%,1,0,4,0.0,0.5
1433,Lorenzo Vaca,17,8,139,139,353,16,330,7,2,0,.980,2.48,-18.5,.911,0,0,1256.2,0,0,98.6%,219,216,82.9%,70,58,60.3%,58,35,41.9%,43,18,5.9%,51,3,108,0.0,2.1
355,Ryan Turner,17,8,24,21,59,0,58,1,0,0,.983,2.65,-3.1,.918,0,0,196.2,0,0,95.3%,43,41,91.7%,12,11,66.7%,3,2,44.4%,9,4,0.0%,10,0,24,0.0,3.8
681,Mike Tucker,18,8,136,136,349,12,334,3,1,0,.991,2.56,-13.2,.954,0,0,1216.2,0,0,97.8%,232,227,90.8%,65,59,58.0%,50,29,30.6%,49,15,8.3%,48,4,111,0.0,-2.5
447,John Sommers,4,8,3,3,12,0,12,0,0,0,1.000,3.86,0.6,.997,0,0,28.0,0,0,100.0%,7,7,100.0%,1,1,100.0%,2,2,100.0%,2,2,0.0%,1,0,1,0.0,0.1
1531,Antonio Sevilla,6,8,5,5,11,0,11,0,0,0,1.000,2.30,-1.9,.914,0,0,43.0,0,0,100.0%,7,7,75.0%,4,3,20.0%,5,1,0.0%,2,0,0.0%,1,0,5,0.0,0.3
258,Willie Sanchez,12,8,137,137,351,12,338,1,3,0,.997,2.58,-10.6,.954,0,0,1219.2,0,0,96.5%,230,222,91.4%,58,53,61.1%,54,33,42.6%,54,23,15.6%,45,7,105,0.0,-3.1
352,Alex Ruiz,15,8,1,0,1,0,1,0,0,0,1.000,9.00,0.0,.997,0,0,1.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0.0,-0.0
4158,Jonathan Romero,10,8,26,26,70,0,70,0,0,0,1.000,2.70,0.4,1.011,0,0,233.2,0,0,100.0%,37,37,94.1%,17,16,58.3%,12,7,60.0%,15,9,11.1%,9,1,29,0.0,4.7
2025,Mike Rodriguez,8,8,3,3,6,0,6,0,0,0,1.000,1.74,0.2,.997,0,0,31.0,0,0,100.0%,3,3,0.0%,0,0,50.0%,2,1,100.0%,2,2,0.0%,0,0,3,0.0,0.2
3071,Brian Rodriguez,8,8,25,25,60,1,56,3,0,0,.950,2.23,-3.6,.946,0,0,230.1,0,0,97.1%,35,34,80.0%,15,12,50.0%,12,6,40.0%,10,4,0.0%,9,0,26,0.0,3.4
1060,Yasuo Pimentel,11,8,20,8,21,0,21,0,0,0,1.000,2.12,-1.7,.910,0,0,89.1,0,0,92.9%,14,13,100.0%,7,7,33.3%,3,1,0.0%,1,0,0.0%,6,0,4,0.0,1.0
448,Kevin Pettus,10,8,138,138,399,13,381,5,2,0,.987,2.85,14.6,1.058,0,0,1243.2,0,0,99.6%,228,227,100.0%,64,64,77.8%,54,42,53.8%,65,35,34.2%,38,13,125,0.0,-0.2
4250,Sal Perez,4,8,141,141,349,15,329,5,1,0,.986,2.44,-13.7,.934,0,0,1271.1,0,0,96.7%,214,207,87.5%,72,63,64.9%,57,37,41.5%,41,17,11.1%,45,5,110,0.0,6.0
1387,Carlos Perez,12,8,3,3,13,0,13,0,0,0,1.000,4.23,0.3,.997,0,0,27.2,0,0,100.0%,9,9,100.0%,3,3,0.0%,0,0,100.0%,1,1,0.0%,0,0,4,0.0,-0.1
1892,Jim Payne,8,8,38,38,113,3,110,0,0,0,1.000,3.02,-4.4,.962,0,0,336.1,0,0,98.6%,73,72,77.8%,27,21,64.7%,17,11,33.3%,15,5,8.3%,12,1,26,0.0,-0.2
1198,Ben Otwell,9,8,118,117,344,4,337,3,2,0,.991,2.95,13.7,1.066,0,0,1041.2,0,0,100.0%,191,191,98.6%,70,69,79.6%,49,39,60.4%,48,29,19.6%,46,9,87,0.0,-4.4
1586,Marco Ortega,8,8,141,141,406,12,391,3,1,0,.993,2.87,7.8,1.028,0,0,1263.2,0,0,100.0%,242,242,94.4%,72,68,72.5%,51,37,59.7%,62,37,14.6%,48,7,103,0.0,-0.9
3043,David Orta,12,8,19,13,43,0,43,0,0,0,1.000,3.13,-2.1,.932,0,0,123.2,0,0,100.0%,26,26,71.4%,7,5,50.0%,12,6,60.0%,10,6,0.0%,3,0,8,0.0,1.4
1010,Dylan Nelson,15,8,136,135,375,4,367,4,1,0,.989,2.73,14.2,1.039,0,0,1223.2,0,0,100.0%,210,210,100.0%,66,66,91.8%,49,45,59.0%,61,36,21.3%,47,10,122,0.0,-3.5
2315,Brett Needham,6,8,23,22,59,1,57,1,0,0,.983,2.59,-3.9,.874,0,0,201.1,0,0,91.9%,37,34,90.0%,10,9,85.7%,7,6,43.8%,16,7,11.1%,9,1,28,0.0,3.3
113,Wilson Moreno,8,8,23,23,69,0,69,0,0,0,1.000,3.04,-3.7,.905,0,0,204.1,0,0,95.7%,47,45,63.6%,11,7,72.7%,11,8,46.7%,15,7,40.0%,5,2,20,0.0,2.5
871,Shane Moore,12,8,138,138,323,2,321,0,0,0,1.000,2.35,-30.3,.872,0,0,1237.2,0,0,92.4%,223,206,79.7%,74,59,59.7%,67,40,33.3%,36,12,8.5%,47,4,109,0.0,14.4
1780,Raffaele Mondello,9,8,140,139,355,9,340,6,0,0,.983,2.59,6.5,1.024,0,0,1215.0,0,0,100.0%,213,213,94.7%,57,54,68.5%,54,37,57.1%,42,24,24.5%,49,12,114,0.0,-2.1
2146,Matt Means,6,8,23,23,41,0,41,0,0,0,1.000,1.84,-0.2,.997,0,0,200.1,0,0,100.0%,26,26,100.0%,4,4,81.8%,11,9,28.6%,7,2,0.0%,6,0,13,0.0,-0.3
1153,John McDonald,7,8,140,140,347,4,341,2,0,0,.994,2.46,11.1,1.059,0,0,1262.2,0,0,100.0%,183,183,97.4%,78,76,72.9%,59,43,51.9%,52,27,23.1%,52,12,126,0.0,-3.5
2228,Zack Martz,7,8,21,21,53,2,51,0,0,0,1.000,2.59,0.6,1.017,0,0,184.0,0,0,100.0%,34,34,100.0%,7,7,75.0%,8,6,57.1%,7,4,0.0%,7,0,13,0.0,-0.1
1011,Troy Martin,11,8,27,27,54,0,54,0,0,0,1.000,1.96,-5.9,.828,0,0,248.0,0,0,80.0%,35,28,94.1%,17,16,60.0%,5,3,60.0%,10,6,14.3%,7,1,21,0.0,2.3
541,Willie Lugo,9,8,134,134,337,19,315,3,1,0,.991,2.56,-26.4,.894,0,0,1173.0,0,0,95.1%,226,215,72.9%,70,51,61.8%,55,34,23.8%,42,10,12.2%,41,5,116,0.0,1.8
1584,Jason Laye,8,8,19,18,51,1,50,0,0,0,1.000,2.80,2.6,1.083,0,0,164.0,0,0,100.0%,30,30,100.0%,10,10,85.7%,7,6,75.0%,4,3,20.0%,5,1,16,0.0,-0.3
1292,Armando Jose,10,8,67,66,188,7,181,0,1,0,1.000,2.90,-10.4,.930,0,0,584.0,0,0,97.0%,135,131,88.2%,34,30,48.1%,27,13,22.7%,22,5,11.1%,18,2,56,0.0,0.7
3832,Jim Johnson,10,8,139,139,392,11,379,2,2,0,.995,2.81,6.1,1.032,0,0,1251.1,0,0,99.2%,239,237,96.2%,78,75,70.6%,51,36,43.9%,41,18,21.7%,60,13,107,0.0,-0.8
70,Matt Jetton,9,8,140,140,420,9,408,3,1,0,.993,3.04,17.7,1.073,0,0,1236.1,0,0,99.6%,245,244,100.0%,85,85,86.5%,52,45,55.6%,45,25,23.7%,38,9,122,0.0,-2.7
964,Larry James,15,8,26,26,70,0,69,1,0,0,.986,2.61,-11.1,.819,0,0,238.0,0,0,87.9%,58,51,75.0%,16,12,33.3%,9,3,25.0%,12,3,0.0%,8,0,30,0.0,5.2
