ID,Team,Team Name,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,SH,SF,SO,GIDP,wRC,SB,UBR
6,Tulsa,Tulsa Buckeyes,162,1458,5975,5331,1208,812,215,18,163,562,593,573,16,18,26,1321,149,582,45,-33.3
15,Las Vegas,Las Vegas Whitehawks,162,1458,5925,5439,1254,884,208,22,140,520,544,418,11,18,27,1410,122,512,77,-16.0
29,Indianapolis,Indianapolis Saints,162,1458,6237,5606,1454,942,303,29,180,727,752,531,16,8,43,1318,116,755,93,-21.2
32,Reno,Reno Blackhawks,162,1458,5990,5478,1318,884,266,22,146,573,602,440,7,30,23,1275,131,593,93,-8.0
13,Milwaukee,Milwaukee Blue Hens,163,1467,6083,5498,1292,821,231,21,219,656,677,489,18,15,29,1656,122,650,54,-21.8
22,New York,New York Outlaws,162,1458,6299,5635,1598,990,344,26,238,892,918,579,10,20,39,1213,137,941,73,-13.8
18,Seattle,Seattle Hurons,162,1458,6194,5588,1457,886,285,21,265,808,842,535,17,3,35,1459,121,822,117,-11.2
2,Miami,Miami Abbots,162,1458,6081,5438,1350,880,255,20,195,687,708,524,16,19,42,1290,153,705,76,-10.5
17,Sacramento,Sacramento Railhawks,162,1458,6304,5586,1446,895,298,49,204,807,833,613,11,22,32,1261,116,832,113,-25.5
21,Portland,Portland Gunslingers,162,1458,6238,5528,1395,894,253,21,227,708,737,596,8,7,34,1509,146,793,39,-20.2
14,Phoenix,Phoenix Red Raiders,162,1458,6040,5456,1275,842,237,24,172,578,600,517,15,9,25,1556,134,606,110,-22.4
12,Los Angeles,Los Angeles Motors,162,1458,6310,5668,1509,976,315,23,195,717,758,541,15,15,44,1187,141,806,87,-43.2
27,Honolulu,Honolulu Warlocks,162,1458,6101,5490,1326,813,251,27,235,688,705,518,14,27,36,1409,106,710,65,-13.4
11,Scottsdale,Scottsdale Big Stick,162,1458,6134,5540,1308,893,261,31,123,572,587,494,32,31,39,1359,135,570,77,-24.7
25,Glendale,Glendale Timberwolves,162,1458,6314,5703,1595,1016,326,29,224,835,866,512,13,12,39,1189,148,888,87,-31.5
24,San Antonio,San Antonio Wolverines,162,1458,6285,5692,1626,1065,320,30,211,819,847,492,14,15,41,1110,158,890,65,-33.2
3,Mesa,Mesa Flying Monkeys,162,1458,6158,5518,1380,809,313,28,230,768,789,557,9,7,41,1408,108,772,154,-16.6
8,Oklahoma City,Oklahoma City Fire Dogs,162,1458,6138,5574,1331,798,284,29,220,654,684,470,15,4,24,1340,128,684,38,-15.6
23,Omaha,Omaha Tincaps,162,1458,6472,5799,1618,1013,305,23,277,898,927,577,19,5,46,1314,140,950,47,-26.9
16,Columbus,Columbus Fighters,163,1467,6251,5573,1399,881,302,44,172,765,795,587,28,20,46,1250,123,732,174,-7.5
5,Memphis,Memphis Trains,162,1458,6103,5468,1261,805,276,21,159,613,637,535,26,29,38,1457,106,601,66,-24.3
9,New Orleans,New Orleans Greyhounds,162,1458,6302,5686,1464,936,276,18,234,752,779,544,28,13,29,1408,123,781,81,-12.5
10,Boston,Boston Crawfish,162,1458,6122,5457,1267,809,279,20,159,605,636,587,28,34,30,1259,142,623,88,-14.3
7,Brooklyn,Brooklyn Kings,162,1458,6170,5575,1358,859,250,24,225,674,698,503,21,22,37,1327,143,698,56,-14.6
19,Charlotte,Charlotte Grand Slam,162,1458,6286,5594,1496,923,298,42,233,862,890,588,8,7,49,1371,105,871,174,-17.2
28,Cleveland,Cleveland Clowns,162,1458,6159,5546,1411,912,268,29,202,701,732,495,10,11,43,1306,107,739,91,-32.4
4,Dallas,Dallas Sunrays,162,1458,6058,5499,1418,916,303,37,162,654,683,476,20,19,31,1232,136,706,97,-24.4
30,Fresno,Fresno Deputies,162,1458,6157,5573,1372,863,269,38,202,666,686,474,16,16,39,1277,145,698,60,-21.8
31,Newport News,Newport News Peacocks,162,1458,6115,5547,1246,764,228,27,227,624,638,496,19,12,24,1707,107,613,27,-18.1
26,Philadelphia,Philadelphia Lynx,162,1458,6347,5726,1606,985,324,31,266,888,918,540,12,7,30,1220,132,943,70,-19.3
20,San Jose,San Jose Steelers,162,1458,6331,5691,1598,1028,330,28,212,852,878,526,17,20,57,1215,154,881,118,-21.8
1,Baltimore,Baltimore Tyrants,162,1458,6262,5643,1412,874,270,23,245,757,784,525,17,22,46,1481,116,759,63,-8.7
