ID,Team,Team Name,G,GS,TC,IP,PO,A,DP,TP,E,PCT,SBA,ZR,PB,CER,CERA,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I
6,Tulsa,Tulsa Buckeyes,162,1620,5841,12807.0,4269,1478,149,0,94,.984,98,-35.7,6,0,0.00,2234,2096,446,335,343,199,288,77,388,50,385
15,Las Vegas,Las Vegas Whitehawks,162,1620,5942,12900.0,4300,1563,126,0,79,.987,105,76.9,8,0,0.00,2177,2078,462,385,332,220,317,127,432,90,352
29,Indianapolis,Indianapolis Saints,162,1620,5896,13044.0,4348,1473,154,0,75,.987,129,-11.1,16,0,0.00,2125,2013,414,319,304,182,303,103,375,50,334
32,Reno,Reno Blackhawks,162,1620,5744,12792.0,4264,1402,124,0,78,.986,108,-61.4,15,0,0.00,2227,2074,465,362,363,208,324,75,437,45,416
13,Milwaukee,Milwaukee Blue Hens,163,1630,6016,13236.0,4412,1516,159,0,88,.985,111,13.0,8,0,0.00,2145,2031,446,361,310,202,296,103,375,52,336
22,New York,New York Outlaws,162,1620,5914,12981.0,4327,1522,149,0,65,.989,119,-21.6,16,0,0.00,2111,1990,450,371,306,186,331,98,413,40,355
18,Seattle,Seattle Hurons,162,1620,5866,13011.0,4337,1459,144,0,70,.988,89,34.3,12,0,0.00,2114,2006,412,339,351,225,332,106,412,65,341
2,Miami,Miami Abbots,162,1620,5912,12984.0,4328,1486,134,0,98,.983,118,-0.6,13,0,0.00,2230,2099,468,387,355,208,293,91,427,63,349
17,Sacramento,Sacramento Railhawks,162,1620,5869,12810.0,4270,1522,128,0,77,.987,103,-47.2,11,0,0.00,2336,2181,516,395,372,222,380,118,434,48,435
21,Portland,Portland Gunslingers,162,1620,5890,12882.0,4294,1527,150,0,69,.988,124,-3.4,11,0,0.00,2274,2144,408,319,321,195,352,129,432,56,383
14,Phoenix,Phoenix Red Raiders,162,1620,5714,12876.0,4291,1343,121,0,80,.986,120,-40.5,6,0,0.00,2158,2017,423,330,364,201,297,79,415,53,316
12,Los Angeles,Los Angeles Motors,162,1620,6017,13113.0,4371,1551,175,0,95,.984,139,45.6,13,0,0.00,2228,2114,439,380,328,225,330,120,409,61,350
27,Honolulu,Honolulu Warlocks,162,1620,5837,13041.0,4346,1410,128,0,81,.986,119,24.6,10,0,0.00,2115,1997,392,332,295,182,296,114,441,71,339
11,Scottsdale,Scottsdale Big Stick,162,1620,5940,13149.0,4383,1468,128,0,89,.985,132,13.8,10,0,0.00,2280,2150,423,346,321,199,328,129,402,60,372
25,Glendale,Glendale Timberwolves,162,1620,5894,13038.0,4346,1466,145,0,82,.986,94,4.7,16,0,0.00,2159,2028,426,355,299,182,310,108,389,65,400
24,San Antonio,San Antonio Wolverines,162,1620,5847,12918.0,4305,1474,119,0,68,.988,110,12.9,14,0,0.00,2152,2049,414,345,321,197,315,106,405,56,363
3,Mesa,Mesa Flying Monkeys,162,1620,5866,12954.0,4318,1475,140,0,73,.988,120,27.7,8,0,0.00,2207,2091,404,317,356,240,323,110,402,75,358
8,Oklahoma City,Oklahoma City Fire Dogs,162,1620,6036,13203.0,4400,1541,146,0,95,.984,86,25.6,12,0,0.00,2145,2033,401,333,330,223,311,121,411,66,337
23,Omaha,Omaha Tincaps,162,1620,6067,13155.0,4385,1611,142,0,71,.988,123,28.4,15,0,0.00,2314,2214,464,381,370,233,336,111,476,83,374
16,Columbus,Columbus Fighters,163,1630,6011,13182.0,4394,1525,143,0,92,.985,154,-19.1,18,0,0.00,2195,2054,462,368,340,210,317,113,401,59,346
5,Memphis,Memphis Trains,162,1620,5901,13011.0,4337,1485,130,0,79,.987,103,-23.0,11,0,0.00,2097,1979,459,368,339,207,311,97,390,60,345
9,New Orleans,New Orleans Greyhounds,162,1620,6041,13185.0,4395,1575,168,0,71,.988,116,6.5,12,0,0.00,2325,2203,481,396,315,200,308,87,421,63,364
