ID,Name,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,wOBA,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR
6453,Dan Clay,138,138,554,512,138,101,34,1,2,48,36,36,6.5,4,1,0,5,0,86,15.5,17,.270,.316,.352,.286,81,.317,77,2.9,3.44,4,2,-15.0,-0.4,-0.7
6713,Ryan Bevers,144,144,478,461,50,47,3,0,0,17,20,14,2.9,0,1,4,2,1,98,20.5,8,.108,.136,.115,.115,-31,.137,-42,-3.6,3.38,3,3,-81.5,0.2,-0.7
6843,John Ostrovsky,142,142,569,527,130,86,24,1,19,52,53,34,6.0,7,3,0,5,0,119,20.9,21,.247,.293,.404,.290,87,.282,79,2.2,3.57,1,0,-13.7,-6.3,-6.4
6635,Jimmy Bowers,140,140,550,524,118,92,21,0,5,40,34,21,3.8,2,1,5,4,0,163,29.6,10,.225,.255,.294,.237,49,.314,42,0.6,3.74,1,0,-37.8,-2.0,-2.1
6587,Steve Minton,142,141,603,526,170,96,42,6,26,101,72,60,10.0,6,13,0,4,0,78,12.9,16,.323,.403,.574,.404,161,.338,159,8.3,3.65,6,6,43.1,-2.4,-4.3
7233,Daniel Pace,140,140,665,608,172,104,39,1,28,79,92,50,7.5,1,5,0,2,0,135,20.3,11,.283,.341,.488,.351,121,.322,123,5.7,3.76,6,5,18.3,-2.8,-4.3
7259,John Scozzari,142,142,652,602,171,95,38,9,29,81,100,47,7.2,0,3,0,0,0,103,15.8,8,.284,.339,.522,.362,129,.302,130,6.1,3.52,23,11,23.9,-1.8,-2.1
6951,Ryan Simpson,141,141,600,546,152,62,64,18,8,75,79,46,7.7,0,5,0,3,0,72,12.0,3,.278,.338,.505,.354,125,.307,124,6.0,3.59,4,1,17.8,-3.6,-3.4
6947,Gustavo Briones,136,136,631,523,145,91,26,0,28,88,113,95,15.1,3,6,0,7,0,111,17.6,7,.277,.390,.488,.373,136,.299,137,6.5,3.91,24,9,28.6,2.2,3.0
6583,Justin Chesley,143,142,532,470,91,56,16,5,14,44,42,62,11.7,5,0,0,0,0,187,35.2,6,.194,.288,.338,.270,69,.286,66,-0.3,3.83,8,9,-21.7,-4.1,-6.9
6739,Zack Denison,139,139,643,565,156,87,34,7,28,77,102,67,10.4,1,7,0,4,0,155,24.1,6,.276,.358,.510,.366,132,.332,133,8.1,3.77,53,18,25.4,2.0,5.3
6817,Darius Hillard,141,141,611,570,127,84,27,3,13,40,58,35,5.7,0,5,0,1,0,140,22.9,18,.223,.273,.349,.270,67,.273,66,1.4,3.60,1,0,-24.9,-4.4,-4.4
6531,Danny McNett,141,141,636,531,162,101,32,0,29,85,102,87,13.7,5,15,0,3,0,88,13.8,21,.305,.415,.529,.397,154,.319,155,8.4,3.88,7,0,42.2,-1.4,-0.2
7025,Ian Schumann,137,137,532,482,96,54,24,0,18,60,56,41,7.7,0,3,1,6,0,184,34.6,8,.199,.263,.361,.269,67,.273,65,2.0,3.95,2,2,-22.2,0.1,-0.7
6869,Chris Schweiger,141,141,590,530,138,81,39,2,16,89,63,48,8.1,1,5,0,7,0,116,19.7,13,.260,.324,.432,.322,103,.301,102,4.5,3.53,16,4,1.6,-1.0,0.5
7077,Doug Segura,142,142,591,533,155,93,32,1,29,91,69,46,7.8,3,7,0,5,0,120,20.3,15,.291,.352,.518,.363,132,.324,131,5.9,3.71,3,3,22.2,-0.5,-1.6
6460,Ray Briner,148,148,675,578,131,71,33,3,24,72,95,84,12.4,2,12,0,1,0,150,22.2,13,.227,.336,.419,.326,103,.264,105,2.2,3.85,22,4,4.5,-3.6,-0.8
6921,Steve Cooney,141,141,585,537,121,86,20,2,13,45,57,43,7.4,1,0,2,5,0,170,29.1,10,.225,.280,.343,.270,68,.301,65,1.8,3.80,3,4,-24.0,-0.3,-1.9
6765,Ray Musser,139,139,620,549,140,74,38,1,27,95,80,57,9.2,1,9,0,5,0,127,20.5,14,.255,.332,.475,.342,116,.282,116,4.5,3.85,11,5,12.1,-6.6,-6.8
