ID,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
122465,DUSTY,ALLEN,,NYM,MLB,25,9,,,N,L,N,55,60,45,60,50,50,65,60,45,60,55,50,4,7,128,122,545,491,124,87,12,1,24,67,63,47,8.6,2,2,0,5,0,120,22.0,7,.253,.317,.428,110,.284,103,0.6,3.77,0,0,2.5,-1.4,-1.4,-0.4,.868
122194,LYNWOOD,BRADLEY,,SD,MLB,40,21,,,H,N,N,45,60,60,60,50,35,60,45,60,60,50,35,5,6,82,53,231,205,40,28,4,0,8,24,23,23,10.0,3,3,0,0,0,89,38.5,2,.195,.286,.332,72,.296,66,-1.1,4.04,1,1,-9.5,0.5,-0.2,-4.7,.909
120063,B.J.,CLARK,,HOU,MLB,23,8,,,L,N,N,65,70,55,70,55,55,70,65,55,70,55,55,1,1,160,160,694,617,160,100,33,0,27,87,87,70,10.1,3,3,0,4,0,139,20.0,21,.259,.336,.444,111,.292,110,1.7,3.79,0,0,8.9,-1.8,-1.8,2.7,1.046
127446,BILLY,LANE,,LAD,MLB,26,6,,,L,L,L,60,50,60,55,55,60,55,65,60,60,60,65,5,5,135,135,585,528,138,86,25,3,24,90,78,52,8.9,1,0,0,5,0,85,14.5,14,.261,.325,.456,111,.269,110,1.3,3.71,3,3,7.3,-0.9,-3.0,0.3,.959
120912,PACO,LEÓN,,MON,MLB,25,9,,,H,H,N,60,55,50,50,65,70,55,65,55,50,65,70,6,8,160,160,728,631,180,123,36,2,19,73,108,86,11.8,2,8,0,3,0,78,10.7,14,.285,.376,.439,123,.300,125,2.9,3.85,14,4,22.5,1.0,0.3,-1.3,.957
132448,CALEB,MCKEE,,COL,MLB,33,13,,,H,H,N,50,50,65,65,65,55,50,50,65,65,65,55,6,7,139,128,569,491,121,66,26,2,27,86,81,67,11.8,2,2,0,9,0,120,21.1,7,.246,.334,.473,102,.266,108,1.1,3.95,16,5,5.8,-0.3,-0.2,-0.1,1.002
127495,MATT,MOLLENHAU,,HOU,MLB,25,6,,,N,H,N,45,55,50,65,55,35,55,45,50,65,55,35,4,1,77,46,229,196,47,29,4,0,14,42,23,29,12.7,1,2,0,2,0,70,30.6,5,.240,.341,.474,120,.289,119,0.9,4.05,0,0,5.4,0.7,0.7,0.4,1.252
133638,BILL,MUNYIGA,,BOS,MLB,22,6,,,N,H,H,50,65,65,60,60,40,65,50,75,75,60,40,5,8,41,38,176,160,37,23,11,0,3,13,22,16,9.1,0,0,0,0,0,54,30.7,2,.231,.301,.356,76,.330,78,-0.4,3.93,0,1,-4.6,-0.6,-1.4,0.1,.965
125021,PEDRO,SERRANO,,SD,MLB,37,19,,,H,N,N,50,50,55,50,50,50,50,50,55,50,50,50,6,6,152,146,584,507,111,72,25,2,12,50,57,59,10.1,3,12,0,6,0,113,19.3,12,.219,.312,.347,84,.255,82,-1.2,3.78,12,4,-12.7,-3.3,-3.7,-0.2,1.126
112774,GILBERTO,VELÁSQUEZ,,SEA,MLB,41,27,,,H,H,N,50,55,50,55,50,40,55,50,50,55,50,40,3,5,31,20,92,85,11,6,2,0,3,11,5,7,7.6,0,0,0,0,0,32,34.8,3,.129,.196,.259,24,.160,21,-0.9,4.04,0,1,-8.9,-0.1,-0.7,0.1,1.002
