ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
135441,A. SORENSEN,,LAA,AA,26,11,,,N,H,Normal,1,1,1,4,2,4,2,7,6,10,7,2,2,2,0,2,0,0,0,-0.1,0,0,16.0,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0.0,-0.0
134827,J. BOWEN,,LAA,AAA,24,4,,,H,N,Fan Fav,1,1,1,3,8,5,3,8,7,9,7,2,2,4,0,4,0,0,0,-0.1,0,0,17.0,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,1,0.0,0.2
117723,W. CRAFT,,TOR,AAA,31,16,,,H,N,Normal,1,1,1,2,1,6,1,7,4,8,7,45,45,85,0,85,0,0,0,0.1,0,0,391.1,0,0,100.0%,58,58,92.9%,14,13,50.0%,12,6,35.7%,14,5,17.6%,17,3,20,0.0,-0.4
131081,J. DE JONGH,,NYM,AAA,23,7,,,N,L,Outspoken,1,1,1,3,3,4,2,5,7,7,7,2,0,1,0,1,0,0,0,-0.0,0,0,2.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
121357,F. HAMPTON,,WAS,AAA,25,9,,,N,N,Normal,1,1,1,4,4,6,4,9,6,9,7,7,7,16,0,16,0,0,0,-0.1,0,0,63.2,0,0,100.0%,15,15,100.0%,1,1,0.0%,0,0,0.0%,1,0,0.0%,5,0,2,0.0,0.4
133052,R. HANCOCK,,OAK,AAA,28,13,,,N,H,Normal,1,1,1,4,3,6,1,7,5,8,7,8,8,21,1,20,0,0,0,-0.2,0,0,71.0,0,0,100.0%,15,15,100.0%,2,2,66.7%,3,2,0.0%,1,0,12.5%,8,1,3,0.0,0.5
129384,W. HENDRICKSON,,SD,AAA,27,6,,,N,N,Prankster,1,1,1,1,2,5,1,6,5,6,7,17,8,16,0,16,0,0,0,-0.5,0,0,89.1,0,0,100.0%,14,14,100.0%,2,2,0.0%,0,0,0.0%,2,0,0.0%,4,0,5,0.0,-0.1
125891,P. LÓPEZ,,PHI,AAA,22,7,,,N,H,Normal,1,1,1,2,2,4,1,6,6,7,7,15,15,23,0,22,1,0,0,-1.1,0,0,134.0,0,0,93.3%,15,14,85.7%,7,6,100.0%,2,2,0.0%,1,0,0.0%,3,0,4,0.0,0.3
126329,K. MOORE,,MON,AAA,26,10,,,N,N,Normal,1,1,1,7,5,2,6,8,7,5,7,1,1,2,0,2,0,0,0,0.1,0,0,9.0,0,0,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
133781,T. OTNESS,,LAA,AAA,23,2,,,H,N,Unknown,1,1,1,4,3,7,4,7,7,8,7,1,0,1,0,1,0,0,0,-0.0,0,0,3.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
129820,B. PEARSON,,PIT,AAA,24,6,,,N,N,Normal,1,1,1,5,4,3,1,8,6,7,7,13,11,21,2,18,1,0,0,-0.6,0,0,102.0,0,0,100.0%,15,15,100.0%,2,2,0.0%,3,0,0.0%,4,0,100.0%,1,1,11,0.0,0.9
128263,X. SPEARS,,PIT,AAA,22,6,,,N,N,Normal,1,1,1,3,3,4,2,8,9,7,7,10,10,16,0,16,0,0,0,1.3,0,0,88.2,0,0,100.0%,8,8,100.0%,6,6,100.0%,2,2,0.0%,1,0,0.0%,4,0,6,0.0,-0.1
131335,H. SPENCER,,SD,AAA,24,4,,,H,N,Sparkplug,1,1,1,2,2,3,1,6,5,7,7,49,47,85,0,85,0,0,0,0.8,0,0,382.1,0,0,100.0%,63,63,100.0%,10,10,60.0%,10,6,25.0%,12,3,23.1%,13,3,19,0.0,-1.6
