ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
122047,T. HATHAWAY,,MIA,AA,25,9,,,N,L,Normal,1,1,1,2,2,6,1,5,3,2,1,2,0,1,1,0,0,0,0,0.3,0,0,5.0,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
134131,D. RICHARDSON,,MON,AA,27,12,,,N,N,Normal,1,1,1,6,7,6,8,3,6,5,1,20,0,7,5,2,0,1,0,0.9,3,2,27.2,0,0,100.0%,1,1,100.0%,1,1,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
129474,P. SHELTON,,SF,AA,27,7,,,H,N,Sparkplug,1,1,1,2,2,4,2,1,4,2,1,8,0,1,0,1,0,1,0,0.0,0,0,12.2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
121967,R. ADAMS,,TBA,AAA,24,9,,,N,N,Normal,1,1,1,2,3,7,1,4,3,3,1,28,11,10,5,5,0,0,0,1.2,4,1,82.0,0,0,100.0%,5,5,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.1,0.0
125561,J. BATES,,PIT,AAA,29,10,,,H,L,Normal,1,1,1,1,2,6,1,1,3,3,1,27,0,4,3,1,0,0,0,0.1,2,1,43.2,0,0,66.7%,3,2,50.0%,2,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.0,0.0
124548,D. BODLEY,,PIT,AAA,28,9,,,N,H,Normal,1,1,1,2,4,4,1,3,3,1,1,3,0,1,1,0,0,0,0,0.4,1,1,4.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.0,0.0
130694,P. BONNER,,PHI,AAA,23,4,,,N,L,Unknown,1,1,1,3,3,6,1,1,3,2,1,13,0,3,1,1,1,0,0,-0.6,2,0,21.2,0,0,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
134172,K. BROWN,,CHW,AAA,27,12,,,N,N,Normal,1,1,1,2,4,7,1,3,3,2,1,6,0,2,1,1,0,0,0,0.0,0,0,13.2,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
132769,B. BUCK,,MON,AAA,28,13,,,L,L,Unmotivated,1,1,1,1,3,4,1,1,2,1,1,6,0,1,0,0,1,0,0,-0.8,1,0,8.0,0,0,0.0%,2,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
133789,D. CHERRY,,LAD,AAA,27,12,,,H,N,Normal,1,1,1,1,1,6,3,1,1,4,1,2,0,1,1,0,0,0,0,0.0,0,0,4.0,0,0,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
128217,B. CONNER,,TBA,AAA,24,7,,,N,N,Normal,1,1,1,1,3,6,1,2,3,5,1,9,9,1,1,0,0,0,0,-0.6,10,1,39.1,0,0,0.0%,1,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
134153,S. DAVIS,,CHW,AAA,27,12,,,H,N,Normal,1,1,1,1,2,6,2,1,4,6,1,19,0,3,3,0,0,0,0,0.6,1,1,33.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
135053,N. FALCON,,CHC,AAA,27,11,,,H,H,Normal,1,1,1,2,2,10,3,1,2,3,1,10,7,5,5,0,0,0,0,0.2,5,1,37.2,0,0,100.0%,4,4,0.0%,0,0,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
130057,F. FERNÁNDEZ,,CHW,AAA,25,7,,,N,N,Prankster,1,1,1,3,3,5,1,3,3,4,1,40,0,2,0,2,0,0,0,0.0,5,1,46.2,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1.2,0.0
134256,G. GRIFFITH,,MIA,AAA,25,4,,,N,N,Normal,1,1,1,2,3,4,2,5,2,2,1,11,11,5,3,2,0,1,0,0.6,9,3,62.0,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.8,0.0
133235,K. HAGIWARA,,MIA,AAA,23,8,,,H,H,Sparkplug,1,1,1,2,3,5,1,3,3,3,1,17,0,3,3,0,0,0,0,0.1,0,0,16.2,0,0,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.5,0.0
126142,J. HAHN,,CHW,AAA,28,9,,,N,H,Normal,1,1,1,2,1,7,2,2,1,4,1,15,15,6,3,3,0,0,0,-0.3,15,2,70.0,0,0,100.0%,3,3,0.0%,1,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.3,0.0
120121,L. HERNÁNDEZ,,HOU,AAA,24,8,,,H,L,Normal,1,1,1,2,4,6,1,5,3,6,1,21,21,10,5,5,0,0,0,1.1,8,4,80.2,0,0,100.0%,4,4,0.0%,0,0,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
122268,J. HOWARD,,MIN,AAA,24,9,,,H,N,Normal,1,1,1,1,2,3,1,4,2,2,1,31,0,4,2,2,0,0,0,1.3,5,3,55.2,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.5,0.0
128053,M. HULL,,NYY,AAA,27,7,,,N,N,Normal,1,1,1,2,2,5,1,2,4,3,1,8,0,2,2,0,0,0,0,0.1,0,0,11.2,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.1,0.0
133461,F. KENNETHSON,,STL,AAA,31,12,,,H,H,Fan Fav,1,1,1,4,1,5,5,1,6,1,1,23,0,6,5,1,0,1,0,0.3,4,1,44.0,0,0,100.0%,4,4,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.3,0.0
118186,C. KLINE,,BOS,AAA,32,16,,,N,N,Normal,1,1,1,2,3,8,5,1,2,2,1,27,4,2,1,1,0,0,0,0.8,2,2,42.1,0,0,100.0%,2,2,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.7,0.0
137246,C. LI,,STL,AAA,26,9,,,H,N,Normal,1,1,1,3,2,6,2,2,2,1,1,28,0,5,4,1,0,0,0,0.1,5,1,38.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,1.5,0.0
131998,T. LUCERO,,TBA,AAA,25,5,,,H,N,Sparkplug,1,1,1,2,4,7,1,4,2,2,1,19,0,2,2,0,0,0,0,0.5,2,1,33.2,0,0,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.8,0.0
129818,B. MACFADDEN,,HOU,AAA,24,6,,,H,N,Sparkplug,1,1,1,3,3,6,1,4,2,5,1,11,8,6,3,3,0,0,0,0.0,3,1,29.1,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.1,0.0
