ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
124331,K. PATTERSON,,PIT,MLB,28,8,,,N,N,Normal,1,1,1,6,6,7,5,2,7,6,3,6,6,42,2,40,0,9,0,0.1,0,0,54.1,0,0,100.0%,7,7,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
128190,T. ALEXANDER,,TOR,MLB,27,7,,,L,N,Normal,1,2,1,5,5,9,3,1,5,8,3,134,128,1164,77,1080,7,108,0,0.6,0,0,1121.1,0,0,97.3%,223,217,86.0%,43,37,66.7%,12,8,35.7%,14,5,0.0%,10,0,2,0.0,0.0
126258,J. ALFORD,,NYY,MLB,27,10,,,H,N,Normal,1,1,1,5,7,9,3,4,6,8,3,3,0,3,0,3,0,0,0,0.0,0,0,6.1,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
135085,D. ALLEN,,OAK,MLB,27,11,,,H,N,Normal,1,1,1,8,4,3,5,8,5,7,3,16,5,60,5,54,1,6,0,0.8,0,0,55.0,0,0,93.3%,15,14,100.0%,3,3,100.0%,1,1,0.0%,1,0,100.0%,1,1,0,0.0,0.0
122465,D. ALLEN,,NYM,MLB,25,9,,,L,N,Normal,1,1,1,2,3,2,3,1,3,1,3,12,8,90,9,80,1,14,0,-0.4,0,0,79.2,0,0,81.8%,11,9,100.0%,1,1,100.0%,4,4,100.0%,1,1,0.0%,0,0,0,0.0,0.0
124673,C. ALVARADO,,MON,MLB,21,6,,,H,N,Normal,1,1,1,7,6,7,6,4,6,6,3,36,1,90,2,88,0,6,0,0.3,0,0,93.1,0,0,100.0%,10,10,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,1,0,0,0.0,0.0
128132,J. ANDERSON,,PIT,MLB,26,6,,,H,N,Normal,1,1,1,3,4,5,1,5,4,7,3,25,21,190,13,176,1,11,0,-0.7,0,0,190.2,0,0,97.5%,40,39,87.5%,8,7,0.0%,0,0,0.0%,3,0,0.0%,1,0,3,0.0,0.0
135110,S. ANDERSON,,NYY,MLB,26,11,,,H,N,Normal,1,1,1,7,7,8,7,8,7,10,3,2,0,1,0,1,0,0,0,0.0,0,0,3.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
134083,M. ANDRADE,,CHW,MLB,27,12,,,N,N,Normal,1,1,1,2,2,5,2,4,6,7,3,3,0,3,0,3,0,0,0,0.0,0,0,3.1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
136286,C. BAGGIO,,ATL,MLB,23,7,,,N,L,Normal,1,1,1,3,6,3,4,2,2,2,3,24,22,180,8,170,2,21,0,-1.2,0,0,195.0,0,0,93.8%,32,30,80.0%,5,4,0.0%,1,0,0.0%,1,0,0.0%,0,0,2,0.0,0.0
