ID,RL,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
130260,-,DENNIS HUGHES,,BOS,MLB,31,15,,,L,N,Selfish,45,55,45,50,55,45,55,45,50,55,92-94,10,0,2,0,18.1,85,73,22,18,0,0,4,15,15,10,0,13,1,7.36,.316,1.75,6.4,4.9,2.0,1.3,3.5,0,1,1,0,0,3,9,0,326,12,26,1,0,62,6.08,133,-0.3
129890,CL,GEORGE ALLEN,,SD,MLB,23,6,,,H,N,Normal,60,55,65,60,55,65,55,65,60,55,97-99,62,0,4,9,65.1,271,250,64,49,7,0,8,24,24,16,0,49,2,3.31,.289,1.22,6.8,2.2,1.1,3.1,12.2,2,1,2,0,0,7,4,0,1035,61,76,1,0,133,3.78,86,1.1
127879,CL,HOWARD BELL,,KC,MLB,29,9,,,H,H,Fan Fav,55,60,75,60,60,65,65,75,60,65,94-96,65,0,7,9,63.1,290,270,83,60,13,4,6,34,28,18,5,54,0,3.98,.365,1.59,7.7,2.6,0.9,3.0,12.4,1,1,3,0,0,2,13,6,1019,74,59,7,0,114,3.01,66,2.1
132522,CL,JOE CARR,,ARI,MLB,22,5,,,H,N,Humble,80,50,50,55,45,80,50,50,55,45,97-99,47,0,4,4,60.0,251,218,43,25,6,2,10,27,24,30,2,65,1,3.60,.228,1.22,9.8,4.5,1.5,2.2,13.9,0,2,0,2,0,3,13,5,973,58,52,6,1,126,4.31,95,0.4
127029,CL,JASON DAVIS,,CHC,MLB,22,7,,,N,N,Normal,80,55,60,60,50,80,55,60,60,50,97-99,61,0,3,11,63.2,287,245,59,41,9,0,9,34,32,39,8,72,3,4.52,.305,1.54,10.2,5.5,1.3,1.8,11.5,0,0,4,1,0,2,17,3,1089,57,56,4,1,100,4.04,89,0.9
123187,CL,BOB DOWNING,,OAK,MLB,25,10,,,N,L,Normal,80,45,70,60,40,80,45,70,60,40,97-99,48,1,2,6,65.2,277,249,56,34,7,0,15,25,25,23,4,90,5,3.43,.285,1.20,12.3,3.2,2.1,3.9,24.2,0,0,1,0,0,4,14,2,1028,46,55,4,0,132,4.19,92,0.6
131413,CL,DAN ENCARNACIÓN,,CLE,MLB,23,4,,,N,N,Normal,65,60,55,55,65,75,60,55,55,65,94-96,77,0,2,15,113.2,501,440,113,75,24,2,12,57,54,49,10,87,6,4.28,.292,1.43,6.9,3.9,1.0,1.8,7.6,1,5,4,0,0,12,19,11,1804,111,129,10,1,103,3.89,88,1.4
128843,CL,MATT FARR,,PHI,MLB,22,6,,,L,N,Disruptive,80,70,50,60,80,80,70,50,60,80,97-99,37,0,1,4,34.1,137,123,24,12,10,0,2,11,11,13,2,29,0,2.88,.237,1.08,7.6,3.4,0.5,2.2,11.7,0,1,0,0,0,3,6,2,513,35,36,0,0,157,2.89,63,1.1
133616,CL,ISMAEL GARCÍA,,MIN,MLB,24,4,,,N,N,Captain,50,60,70,60,65,80,65,70,60,65,97-99,62,0,7,8,65.2,286,251,61,46,12,0,3,29,23,27,1,38,1,3.15,.270,1.34,5.2,3.7,0.4,1.4,3.8,2,5,0,0,0,3,6,1,1086,73,81,4,2,144,3.53,77,1.6
129117,CL,JOHN GIBSON,,NYM,MLB,23,6,,,H,N,Fan Fav,80,55,50,55,60,80,55,50,55,60,94-96,55,0,5,6,60.2,261,228,54,37,6,0,11,39,34,28,0,62,3,5.04,.274,1.35,9.2,4.2,1.6,2.2,13.0,0,2,5,1,0,9,22,9,942,46,62,3,0,85,4.71,109,-0.1
136858,CL,CARLOS HERNÁNDEZ,,WAS,MLB,33,16,,,N,N,Normal,60,65,65,60,65,60,65,65,60,65,92-94,68,0,2,9,64.0,263,241,49,34,5,1,9,25,24,18,0,57,2,3.38,.226,1.05,8.0,2.5,1.3,3.2,14.8,0,2,2,0,0,3,14,6,1020,62,70,1,0,138,3.85,82,1.3
127375,CL,CHET HOLLAND,,CHW,MLB,23,7,,,N,N,Normal,75,60,50,60,65,75,60,50,60,65,98-100,50,0,2,6,47.2,221,197,58,44,9,1,4,25,25,22,4,48,2,4.72,.372,1.68,9.1,4.2,0.8,2.2,11.8,0,0,2,0,0,3,5,0,874,41,50,3,1,96,3.20,70,1.4
