ID,Team,Team Name,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,IBB,SH,SF,SO,GIDP,wRC,SB,UBR
20,Oakland,Oakland Athletics,162,1458,6243,5453,1384,933,246,22,183,837,864,665,28,22,67,965,117,789,290,3.2
18,New York,New York Yankees,162,1458,6081,5494,1369,892,215,21,241,743,760,506,20,13,41,1084,97,749,184,2.8
5,Chicago,Chicago White Sox,162,1458,6191,5598,1492,989,284,20,199,779,800,493,9,20,50,851,144,808,156,-15.6
28,Texas,Texas Rangers,162,1458,6314,5643,1432,910,284,14,224,771,793,590,14,7,37,1018,148,816,69,-12.6
15,Los Angeles,Los Angeles Dodgers,162,1458,6249,5489,1324,868,242,18,196,704,720,638,25,15,52,1188,135,747,94,-9.9
13,Kansas City,Kansas City Royals,163,1467,6316,5627,1474,944,274,27,229,806,825,586,42,6,52,1228,121,841,35,-7.7
23,San Diego,San Diego Padres,162,1458,6202,5461,1257,813,239,23,182,690,714,642,39,7,52,1141,114,674,103,4.6
6,Chicago,Chicago Cubs,162,1458,6161,5523,1399,945,250,11,193,687,702,547,19,39,35,1003,138,752,42,-15.4
8,Cleveland,Cleveland Guardians,162,1458,6144,5530,1369,913,271,18,167,687,705,523,30,15,50,938,122,690,171,-7.8
19,New York,New York Mets,162,1458,6249,5436,1238,773,220,18,227,755,772,708,17,0,41,1351,106,748,74,-4.7
563,Colorado,Colorado Rockies,162,1458,6259,5573,1419,898,307,26,188,746,773,595,16,0,47,1097,132,796,130,-0.3
12,Houston,Houston Astros,162,1458,6173,5517,1318,882,242,5,189,689,714,587,30,3,26,1215,139,691,105,-13.8
24,Seattle,Seattle Mariners,162,1458,6263,5584,1413,930,273,19,191,777,792,564,22,7,46,1107,105,774,107,2.8
562,Vancouver,Vancouver Vandals,162,1458,6242,5610,1429,932,258,21,218,757,779,543,15,0,41,1279,131,790,148,-9.3
11,Milwaukee,Milwaukee Brewers,162,1458,6269,5555,1393,919,248,14,212,779,801,626,21,0,43,1146,121,789,217,-7.9
319,Montreal,Montreal Expos,162,1458,6146,5518,1271,869,251,11,140,582,599,529,21,5,45,1035,129,600,99,-10.2
14,Anaheim,Anaheim Angels,162,1458,6185,5475,1335,889,255,18,173,730,753,598,15,28,58,1096,126,720,153,12.1
22,Pittsburgh,Pittsburgh Pirates,162,1458,6185,5648,1403,904,243,8,248,674,696,457,9,17,31,1140,129,750,52,-9.2
4,Boston,Boston Red Sox,162,1458,6232,5462,1282,867,232,14,169,701,731,675,32,11,45,1205,112,694,199,7.6
576,Baltimore,Baltimore Orioles,162,1458,6069,5481,1268,874,240,15,139,614,633,496,14,19,45,1186,124,587,154,-4.0
2,Atlanta,Atlanta Braves,162,1458,6255,5581,1408,1000,209,15,184,688,704,575,21,13,40,1091,167,744,80,-10.5
29,Toronto,Toronto Blue Jays,162,1458,6185,5605,1457,988,276,15,178,696,714,499,16,25,38,1006,125,754,112,8.7
10,Detroit,Detroit Tigers,162,1458,6303,5461,1316,926,223,17,150,708,740,749,33,19,48,982,149,728,81,0.9
21,Philadelphia,Philadelphia Phillies,162,1458,6114,5530,1430,870,247,19,294,782,806,497,7,15,32,1165,122,857,91,-1.2
26,St. Louis,St. Louis Cardinals,162,1458,6190,5497,1355,864,284,17,190,716,741,585,18,5,57,958,115,747,193,5.0
3,Miami,Miami Marlins,162,1458,6125,5461,1354,951,217,10,176,693,711,550,25,17,47,770,165,703,135,-16.9
25,San Francisco,San Francisco Giants,162,1458,6090,5457,1294,923,234,25,112,588,614,522,20,24,54,1041,113,599,246,-0.3
27,Tampa Bay,Tampa Bay Rays,163,1467,6236,5514,1403,924,240,15,224,778,798,617,26,9,49,1094,136,809,105,-4.1
30,Washington,Washington Nationals,162,1458,6364,5567,1419,886,244,16,273,825,850,694,34,0,54,1078,128,886,63,-11.0
1,Arizona,Arizona Diamondbacks,162,1458,6047,5429,1276,883,257,19,117,641,669,517,19,18,53,1114,117,593,110,-14.8
577,San Antonio,San Antonio Scorpions,162,1458,6041,5544,1297,882,208,18,189,591,602,425,16,40,31,1230,105,606,85,-6.4
17,Minnesota,Minnesota Twins,162,1458,6255,5576,1395,949,275,14,157,678,703,586,11,4,54,887,128,729,85,-3.7
