Team Name,G,GS,TC,IP,PO,A,DP,TP,E,PCT,ZR,CERA
Oakland Athletics,162,1620,5931,12990.0,4330,1516,142,0,85,.986,10.4,0.00
New York Yankees,162,1620,5851,12966.0,4322,1450,106,1,79,.986,-4.3,0.00
Chicago White Sox,162,1620,5987,12996.0,4332,1576,146,0,79,.987,-14.0,0.00
Texas Rangers,162,1620,6199,13305.0,4435,1686,158,0,78,.987,-0.4,0.00
Los Angeles Dodgers,162,1620,5996,13059.0,4353,1558,125,0,85,.986,23.1,0.00
Kansas City Royals,163,1630,5930,13059.0,4353,1498,132,0,79,.987,-40.7,0.00
San Diego Padres,162,1620,6083,13197.0,4399,1603,163,0,81,.987,5.4,0.00
Chicago Cubs,162,1620,5910,12984.0,4328,1498,120,0,84,.986,-29.8,0.00
Cleveland Guardians,162,1620,6100,13224.0,4408,1606,143,0,86,.986,17.8,0.00
New York Mets,162,1620,6010,13059.0,4353,1572,127,0,85,.986,19.0,0.00
Colorado Rockies,162,1620,5959,13047.0,4349,1530,135,0,80,.987,21.3,0.00
Houston Astros,162,1620,5919,13041.0,4347,1490,118,0,82,.986,37.9,0.00
Seattle Mariners,162,1620,5985,13107.0,4369,1544,127,0,72,.988,1.0,0.00
Vancouver Vandals,162,1620,5965,13188.0,4396,1501,142,0,68,.989,28.9,0.00
Milwaukee Brewers,162,1620,6084,13158.0,4385,1620,160,0,79,.987,10.0,0.00
Montreal Expos,162,1620,6013,13179.0,4393,1552,142,0,68,.989,19.7,0.00
Anaheim Angels,162,1620,6021,13017.0,4337,1598,165,0,86,.986,25.7,0.00
Pittsburgh Pirates,162,1620,5923,13101.0,4367,1479,136,0,77,.987,-7.5,0.00
Boston Red Sox,162,1620,5976,13131.0,4377,1524,141,0,75,.987,25.7,0.00
Baltimore Orioles,162,1620,6150,13077.0,4359,1719,189,0,72,.988,43.0,0.00
Atlanta Braves,162,1620,5899,13146.0,4382,1450,110,0,67,.989,-1.8,0.00
Toronto Blue Jays,162,1620,5968,13029.0,4343,1552,141,0,73,.988,-8.3,0.00
Detroit Tigers,162,1620,6102,13140.0,4380,1641,161,0,81,.987,-8.3,0.00
Philadelphia Phillies,162,1620,5797,12924.0,4308,1418,114,0,71,.988,26.4,0.00
St. Louis Cardinals,162,1597,5945,12984.0,4328,1529,107,0,88,.985,-17.1,0.00
Miami Marlins,162,1620,5870,12819.0,4273,1521,140,0,76,.987,-79.0,0.00
San Francisco Giants,162,1620,5936,12975.0,4325,1539,135,0,72,.988,19.0,0.00
Tampa Bay Rays,163,1630,5920,13056.0,4351,1477,128,0,92,.984,-36.1,0.00
Washington Nationals,162,1620,5941,13098.0,4366,1508,120,0,67,.989,21.0,0.00
Arizona Diamondbacks,162,1587,5860,12876.0,4292,1479,135,0,89,.985,-38.7,0.00
San Antonio Scorpions,162,1620,6145,13170.0,4389,1668,149,0,88,.986,37.1,0.00
Minnesota Twins,162,1620,5843,12918.0,4306,1459,123,0,78,.987,14.8,0.00
