ID,Name,POS,G,GS,TC,A,PO,E,DP,TP,PCT,RNG,ZR,EFF,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
135085,DAVE ALLEN,7,4,4,7,0,6,1,0,0,.857,1.69,0.3,.961,0,0,32.0,0,0,100.0%,4,4,0.0%,0,0,100.0%,1,1,0.0%,0,0,50.0%,2,1,3,0.0,0.0
130307,CARLOS ALVARADO,7,12,9,15,0,15,0,0,0,1.000,1.67,1.2,1.201,0,0,81.0,0,0,100.0%,9,9,100.0%,4,4,0.0%,0,0,33.3%,3,1,25.0%,4,1,5,0.0,-0.7
126774,LEE BADER,7,1,0,1,0,1,0,0,0,1.000,4.50,-0.0,.961,0,0,2.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
127371,TYNAN BANKS,7,6,3,5,0,5,0,0,0,1.000,1.22,0.1,.961,0,0,37.0,0,0,100.0%,2,2,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,1,0,1,0.0,-0.3
132657,JOE BARKER,7,51,51,121,2,119,0,0,0,1.000,2.42,3.2,1.040,0,0,450.2,0,0,100.0%,82,82,100.0%,28,28,50.0%,4,2,45.5%,11,5,13.3%,15,2,22,0.0,-1.1
123987,PALMER BARRY,7,5,0,7,2,5,0,0,0,1.000,4.02,-0.1,.961,0,0,15.2,0,0,100.0%,4,4,100.0%,1,1,0.0%,0,0,0.0%,1,0,0.0%,0,0,1,0.0,0.7
133024,RONNIE BRANTLEY,7,3,2,4,0,4,0,0,0,1.000,1.96,-0.0,.961,0,0,18.1,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
126382,BRUCE BROWN,7,7,6,17,0,17,0,0,0,1.000,2.68,0.3,.961,0,0,57.0,0,0,100.0%,12,12,100.0%,3,3,0.0%,0,0,50.0%,2,1,50.0%,2,1,4,0.0,-0.2
132943,VINCENTE BÓRQUEZ,7,3,3,4,0,4,0,0,0,1.000,1.44,0.6,1.281,0,0,25.0,0,0,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,50.0%,2,1,1,0.0,-0.1
134547,MICHAEL CARR,7,44,44,97,3,94,0,0,0,1.000,2.24,1.4,1.027,0,0,389.0,0,0,100.0%,71,71,100.0%,15,15,83.3%,6,5,9.1%,11,1,15.4%,13,2,20,0.0,0.3
135497,ALBERTO CHÁVEZ,7,12,7,15,0,14,1,0,0,.933,1.75,0.2,1.041,0,0,72.0,0,0,100.0%,8,8,100.0%,5,5,0.0%,1,0,0.0%,2,0,50.0%,2,1,7,0.0,-0.2
123812,TONY COBB,7,9,8,22,0,21,1,0,0,.955,2.19,-0.1,.961,0,0,86.1,0,0,100.0%,13,13,100.0%,6,6,100.0%,1,1,25.0%,4,1,0.0%,3,0,4,0.0,-0.0
121911,RYAN COLLINS,7,7,6,17,0,17,0,0,0,1.000,2.89,0.1,.961,0,0,53.0,0,0,100.0%,12,12,100.0%,3,3,100.0%,1,1,50.0%,2,1,0.0%,3,0,6,0.0,0.7
131041,FRANK DAVIS,7,41,41,73,0,73,0,0,0,1.000,1.88,-3.8,.948,0,0,350.0,0,0,95.4%,65,62,90.9%,11,10,33.3%,3,1,0.0%,7,0,0.0%,15,0,9,0.0,-0.3
128216,JERMAINE DEGE,7,21,5,25,2,23,0,0,0,1.000,2.90,0.5,1.007,0,0,77.2,0,0,100.0%,19,19,100.0%,3,3,0.0%,0,0,0.0%,0,0,50.0%,2,1,5,0.0,0.7
125802,PORTER DILLON,7,52,51,80,1,77,2,0,0,.975,1.61,-7.8,.867,0,0,436.0,0,0,96.8%,63,61,82.4%,17,14,0.0%,4,0,9.5%,21,2,0.0%,17,0,17,0.0,2.5
128221,THOMAS DUPRÉ,7,50,50,110,1,105,4,0,0,.964,2.18,-1.1,.990,0,0,438.0,0,0,98.7%,79,78,100.0%,17,17,50.0%,12,6,30.8%,13,4,0.0%,17,0,26,0.0,-1.0
131996,LUIS FERNÁNDEZ,7,1,0,1,1,0,0,0,0,1.000,4.50,-0.0,.000,0,0,2.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.6
123325,JORGE GARCÍA,7,1,1,3,0,3,0,0,0,1.000,3.00,0.4,1.442,0,0,9.0,0,0,0.0%,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,0.0,0.0
131000,VÍCTOR GERMÁN,7,48,46,104,1,102,1,0,0,.990,2.35,2.8,1.033,0,0,395.0,0,0,98.6%,69,68,100.0%,17,17,66.7%,9,6,31.2%,16,5,24.0%,25,6,29,0.0,0.1
133894,JIM GINSBERG,7,5,3,6,0,6,0,0,0,1.000,1.74,0.4,1.153,0,0,31.0,0,0,100.0%,5,5,0.0%,0,0,0.0%,1,0,0.0%,0,0,100.0%,1,1,0,0.0,0.0
128479,ROBERTO GONZÁLES,7,40,40,79,1,76,2,0,0,.975,1.96,0.2,.987,0,0,353.0,0,0,100.0%,57,57,91.7%,12,11,80.0%,5,4,25.0%,4,1,13.6%,22,3,21,0.0,-0.2
120238,ROY GRIFFIN,7,6,6,12,0,12,0,0,0,1.000,1.77,-0.4,.961,0,0,61.0,0,0,100.0%,10,10,100.0%,2,2,0.0%,0,0,0.0%,1,0,0.0%,5,0,1,0.0,0.4
124293,JAY HENNESSEY,7,2,0,1,0,1,0,0,0,1.000,3.00,-0.0,.961,0,0,3.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
