ID,Name,G,GS,W,L,SVO,SV,SV%,BS,BS%,SD,MD,IP,BF,AB,HA,1B,2B,3B,HR,TB,R,ER,BB,IBB,K,HP,ERA,AVG,OBP,SLG,OPS,WHIP,BRA/9,K/9,BB/9,HR/9,K/BB,K%,BB%,K%-BB%,SH,SF,WP,BK,CI,DP,RA,GF,IR,IRS,IRS%,GF%,QS,QS%,CG,CG%,SHO,PPG,RS,RSG,PI,GB,FB,GO%,SB,CS,FIP-,WAR
133703,John Abney,30,30,8,16,0,0,.000,0,.000,0,0,160.1,692,632,166,96,38,2,30,298,95,92,53,0,110,6,5.16,.263,.325,.472,.797,1.37,12.6,6.2,3.0,1.7,2.1,15.9,7.7,8.2,0,1,6,1,0,16,0,0,0,0,0.0,.000,12,.400,1,.033,1,85,52,1.7,2571,184,165,0.53,20,2,115,0.9
127239,Alfredo Acevedo,56,0,3,5,8,7,.875,1,.125,24,12,76.2,341,291,76,47,19,1,9,124,38,33,41,6,71,5,3.87,.261,.359,.426,.785,1.53,14.3,8.3,4.8,1.1,1.7,20.8,12.0,8.8,1,3,5,0,0,15,56,19,30,6,20.0,.339,0,.000,0,.000,0,22,0,0.0,1263,75,67,0.53,2,1,98,0.4
118432,Leonardo Acevedo,47,0,7,10,5,1,.200,4,.800,9,9,118.2,518,458,120,80,15,5,20,205,66,63,48,2,68,4,4.78,.262,.334,.448,.782,1.42,13.0,5.2,3.6,1.5,1.4,13.1,9.3,3.9,2,5,4,1,1,12,47,16,23,11,47.8,.340,0,.000,0,.000,0,40,0,0.0,1897,134,139,0.49,8,2,119,-0.8
129905,Bubba Ackermann,33,32,10,9,1,1,1.000,0,.000,1,0,170.2,725,649,166,116,20,2,28,274,94,93,66,2,136,5,4.90,.256,.327,.422,.750,1.36,12.5,7.2,3.5,1.5,2.1,18.8,9.1,9.7,1,4,8,0,0,22,1,1,1,0,0.0,1.000,12,.375,0,.000,0,85,94,2.9,2805,172,175,0.50,18,2,104,1.9
125636,Brandon Adams,41,0,5,3,4,2,.500,2,.500,11,2,74.1,306,266,53,35,10,0,8,87,31,30,34,0,64,3,3.63,.199,.294,.327,.621,1.17,10.9,7.7,4.1,1.0,1.9,20.9,11.1,9.8,0,3,2,0,0,6,41,11,29,6,20.7,.268,0,.000,0,.000,0,28,0,0.0,1168,68,82,0.45,3,2,91,0.6
136496,José Aguilar,29,28,8,13,0,0,.000,0,.000,0,1,160.1,706,621,174,116,26,3,29,293,93,88,65,1,138,11,4.94,.280,.355,.472,.826,1.49,14.0,7.7,3.6,1.6,2.1,19.5,9.2,10.3,1,8,6,0,0,18,1,0,0,0,0.0,.000,9,.321,0,.000,0,91,56,2.0,2648,137,179,0.43,8,3,116,0.8
126568,Bruce Alexander,45,0,4,3,6,1,.167,5,.833,19,10,74.2,318,264,53,40,8,0,5,76,27,23,44,7,70,4,2.77,.201,.321,.288,.609,1.30,12.2,8.4,5.3,0.6,1.6,22.0,13.8,8.2,3,3,4,1,0,9,45,12,23,6,26.1,.267,0,.000,0,.000,0,27,0,0.0,1242,76,67,0.53,2,0,82,1.2
132840,Dave Alexander,43,19,4,12,2,1,1.000,0,.000,3,5,176.0,762,684,179,126,35,2,16,266,99,87,60,0,131,13,4.45,.262,.332,.389,.721,1.36,12.9,6.7,3.1,0.8,2.2,17.2,7.9,9.3,2,2,11,0,1,15,24,10,20,5,25.0,.417,9,.474,3,.158,0,65,46,2.4,2798,192,180,0.52,17,5,90,2.7
132135,Mike Alexander,33,30,8,16,0,0,.000,0,.000,3,0,152.1,730,624,199,129,44,0,26,321,119,111,90,6,102,2,6.56,.319,.402,.514,.916,1.90,17.2,6.0,5.3,1.5,1.1,14.0,12.3,1.6,6,8,5,1,0,13,3,0,3,0,0.0,.000,6,.200,0,.000,0,82,86,2.9,2709,154,178,0.46,11,3,125,0.1
120568,Richard Alexander,46,0,7,3,2,1,.500,1,.500,17,7,57.2,240,218,52,37,6,1,8,84,21,20,22,1,62,0,3.12,.239,.308,.385,.694,1.28,11.5,9.7,3.4,1.2,2.8,25.8,9.2,16.7,0,0,2,0,0,3,46,18,20,4,20.0,.391,0,.000,0,.000,0,19,0,0.0,914,47,55,0.46,5,2,82,0.8
