ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
35036,E. BURCH,,OAK,AAA,32,12,2.0 Stars,2.0 Stars,H,N,Humble,1,1,1,5,5,3,5,3,6,1,3,3,2,12,0,12,0,3,0,0.1,0,0,16.0,0,0,100.0%,5,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
33111,L. HOLSINGER,,SDN,AAA,25,8,2.0 Stars,2.0 Stars,N,L,Normal,1,1,1,2,2,5,1,6,6,8,3,1,0,1,1,0,0,0,0,-0.5,0,0,2.0,0,0,0.0%,0,0,50.0%,2,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
36132,W. POWELL,,KCA,AAA,25,3,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,4,3,2,2,3,3,1,3,79,79,647,49,594,4,66,0,0.6,0,0,682.1,0,0,94.7%,133,126,94.1%,17,16,80.0%,20,16,30.0%,10,3,0.0%,13,0,2,0.0,0.0
31436,L. TURNER,,CAR,AAA,29,13,2.5 Stars,2.5 Stars,H,H,Normal,1,1,1,3,5,6,5,1,4,4,3,7,1,16,1,15,0,1,0,-0.9,0,0,17.0,0,0,80.0%,5,4,0.0%,0,0,0.0%,2,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
28588,B. VEECK,,COL,AAA,26,9,2.0 Stars,2.0 Stars,N,N,Normal,6,6,8,5,2,8,1,1,3,8,3,4,0,4,1,3,0,1,0,0.1,0,0,5.0,0,0,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
33155,N. ADAMS,,NYN,AAA,27,6,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,5,4,3,2,3,4,1,3,31,30,253,26,226,1,21,0,1.6,0,0,260.1,0,0,98.3%,60,59,85.7%,14,12,0.0%,2,0,80.0%,5,4,0.0%,5,0,0,0.0,0.0
37557,A. AGUILAR,,TBA,AAA,25,9,2.0 Stars,2.0 Stars,N,N,Outspoken,1,1,1,4,3,4,3,3,4,5,3,5,0,12,0,12,0,1,0,0.0,0,0,11.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.0
33220,F. COSTELLO,,WAS,AAA,27,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,3,6,2,5,3,5,1,3,6,5,51,2,48,1,2,0,-0.3,0,0,44.0,0,0,100.0%,12,12,50.0%,2,1,0.0%,0,0,0.0%,0,0,0.0%,2,0,0,0.0,0.0
26796,C. EDWARDS,,CIN,AAA,23,6,2.5 Stars,4.0 Stars,N,N,Normal,1,1,1,5,3,3,2,2,3,6,3,53,53,447,23,420,4,29,0,1.3,0,0,487.0,0,0,95.7%,92,88,73.3%,15,11,100.0%,3,3,66.7%,3,2,20.0%,5,1,1,0.0,0.0
36600,R. TEMPLEMAN,,DET,AAA,27,6,2.0 Stars,2.0 Stars,N,N,Normal,6,6,5,3,4,4,1,3,3,4,3,1,0,3,0,3,0,0,0,0.0,0,0,3.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37077,M. VÁSQUEZ,,CIN,AAA,27,9,2.0 Stars,2.5 Stars,N,N,Humble,1,1,1,5,4,3,1,6,6,6,3,1,0,2,0,2,0,0,0,0.0,0,0,3.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
35522,J. ADAMS,,BAL,MLB,26,3,2.5 Stars,3.0 Stars,N,N,Normal,1,1,1,4,4,1,1,3,3,1,3,4,3,22,2,20,0,1,0,0.1,0,0,26.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
34815,J. ALCORN,,TOR,MLB,29,10,2.5 Stars,2.5 Stars,N,L,Normal,1,1,1,2,1,4,1,4,5,7,3,152,150,1327,85,1231,11,102,0,-4.5,0,0,1357.0,0,0,95.1%,245,233,88.5%,52,46,61.9%,21,13,22.7%,22,5,0.0%,23,0,4,0.0,0.0
36787,J. ALFARO,,SEA,MLB,28,12,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,4,4,7,4,3,3,7,3,123,122,957,55,898,4,85,0,2.6,0,0,1059.1,0,0,97.9%,189,185,87.9%,33,29,50.0%,14,7,42.9%,7,3,12.5%,8,1,0,0.0,0.0
26833,G. ARNOUTS,,DET,MLB,23,6,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,5,4,5,5,5,3,3,17,16,116,3,111,2,15,0,-0.9,0,0,134.0,0,0,85.7%,14,12,100.0%,4,4,33.3%,3,1,0.0%,2,0,0.0%,0,0,1,0.0,0.0
40166,J. BACA,,TBA,MLB,34,16,2.5 Stars,2.5 Stars,L,L,Unmotivated,1,1,1,4,2,3,1,2,2,2,3,51,51,385,22,360,3,23,0,0.7,0,0,421.0,0,0,96.2%,78,75,86.7%,15,13,33.3%,3,1,50.0%,8,4,50.0%,2,1,0,0.0,0.0
32107,D. BARNES,,SFN,MLB,30,12,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,1,2,6,1,6,8,8,3,2,2,16,3,13,0,2,0,-0.2,0,0,15.0,0,0,100.0%,3,3,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.0
32958,M. BARNES,,BAL,MLB,34,14,3.5 Stars,3.5 Stars,N,N,Normal,1,1,1,4,3,4,2,3,1,1,3,133,131,1018,49,962,7,74,0,3.2,0,0,1096.2,0,0,96.9%,160,155,91.7%,24,22,80.0%,15,12,50.0%,8,4,0.0%,5,0,0,0.0,0.0
29506,E. BASSET,,MON,MLB,30,14,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,3,6,4,7,1,5,2,3,55,50,386,25,357,4,53,0,-2.2,0,0,425.1,0,0,89.2%,74,66,100.0%,11,11,33.3%,3,1,50.0%,2,1,0.0%,7,0,0,0.0,-0.1
37661,L. BLAIR,,OAK,MLB,27,6,2.5 Stars,3.5 Stars,N,L,Outspoken,1,1,1,5,1,2,5,2,1,4,3,10,5,47,2,45,0,3,0,0.6,0,0,59.1,0,0,100.0%,7,7,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
39324,R. BOWMAN,,PHI,MLB,24,6,2.5 Stars,4.0 Stars,H,N,Normal,1,1,1,4,3,3,3,4,6,5,3,48,46,371,18,352,1,26,0,1.2,0,0,394.2,0,0,89.1%,55,49,100.0%,7,7,66.7%,9,6,71.4%,7,5,0.0%,3,0,3,0.0,0.0
36928,N. BRADLEY,,BAL,MLB,33,13,5.0 Stars,5.0 Stars,H,N,Normal,1,1,1,2,1,5,1,7,5,5,3,1,1,9,0,8,1,0,0,-0.5,0,0,9.0,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
36850,A. BRADSHAW,,LAN,MLB,25,5,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,6,5,2,4,5,5,4,3,94,92,786,39,743,4,60,0,3.1,0,0,803.2,0,0,95.9%,147,141,78.3%,23,18,71.4%,14,10,30.0%,10,3,11.1%,9,1,2,0.0,0.0
37156,R. BRUNSKILL,,CHN,MLB,29,8,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,4,4,3,1,6,7,6,3,1,0,1,1,0,0,0,0,0.0,0,0,2.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
31421,T. BURKE,,MIA,MLB,23,3,2.0 Stars,2.5 Stars,H,N,Sparkplug,1,1,1,7,4,4,4,7,5,4,3,5,4,35,5,30,0,3,0,0.2,0,0,37.2,0,0,100.0%,8,8,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
32227,S. BURNS,,MIN,MLB,30,12,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,6,4,4,4,7,7,7,3,14,0,25,2,23,0,5,0,0.2,0,0,24.0,0,0,100.0%,5,5,0.0%,0,0,0.0%,0,0,0.0%,2,0,0.0%,1,0,0,0.0,0.0
36006,W. BUTLER,,MIN,MLB,27,9,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,3,4,2,1,1,4,1,3,56,53,455,23,432,0,35,0,-0.7,0,0,461.1,0,0,97.3%,75,73,80.0%,15,12,62.5%,8,5,33.3%,3,1,0.0%,5,0,0,0.0,0.0
31272,D. BYRD,,MIN,MLB,31,11,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,5,6,7,3,2,4,5,3,45,26,251,11,238,2,15,0,0.9,0,0,256.0,0,0,97.9%,47,46,66.7%,3,2,100.0%,3,3,33.3%,6,2,0.0%,1,0,1,0.0,0.0
34460,L. CABRERA,,ATL,MLB,26,9,2.5 Stars,2.5 Stars,N,H,Normal,4,4,4,3,2,7,2,3,4,8,3,11,1,24,2,21,1,0,0,-0.4,0,0,23.0,0,0,83.3%,6,5,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
40729,L. CERVANTES,,PIT,MLB,28,6,2.5 Stars,2.5 Stars,H,N,Captain,1,1,2,6,4,8,3,4,5,7,3,37,30,287,17,269,1,29,0,2.9,0,0,280.0,0,0,100.0%,59,59,100.0%,13,13,100.0%,3,3,100.0%,1,1,0.0%,6,0,0,0.0,0.0
41238,C. CHÁVEZ,,SLN,MLB,22,6,1.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,1,6,1,6,6,7,3,3,3,23,1,22,0,5,0,-0.4,0,0,27.0,0,0,66.7%,3,2,0.0%,1,0,100.0%,1,1,0.0%,0,0,0.0%,1,0,0,0.0,0.0
