ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
29934,M. ALLEN,,ARI,AAA,30,10,2.0 Stars,2.0 Stars,N,H,Selfish,10,9,7,1,1,6,1,2,4,5,2,85,84,770,37,730,3,2,0,1.8,62,8,763.0,0,341,100.0%,20,20,100.0%,5,5,100.0%,8,8,0.0%,0,0,0.0%,0,0,0,11.3,0.0
38223,S. RICHMOND,,SEA,AAA,29,9,1.5 Stars,1.5 Stars,H,N,Normal,5,5,6,2,2,5,1,3,4,7,2,26,22,176,9,167,0,1,0,-0.2,24,4,198.2,2,96,100.0%,3,3,100.0%,4,4,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
30480,E. RILEY,,KCA,AAA,27,10,2.0 Stars,3.0 Stars,N,N,Humble,4,5,4,3,4,3,2,1,1,1,2,2,2,17,1,16,0,0,0,0.0,0,0,17.0,0,21,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
36840,R. RODRÍGUEZ,,SDN,AAA,24,6,2.0 Stars,2.0 Stars,N,L,Outspoken,4,4,4,3,3,5,1,3,6,7,2,2,2,19,2,17,0,0,0,0.4,4,2,20.0,0,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.4,0.0
28588,B. VEECK,,COL,AAA,26,9,2.0 Stars,2.0 Stars,N,N,Normal,6,6,8,5,2,8,1,1,3,8,2,9,9,70,3,67,0,0,0,0.2,6,0,80.0,0,44,100.0%,4,4,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.9,0.0
36600,R. TEMPLEMAN,,DET,AAA,27,6,2.0 Stars,2.0 Stars,N,N,Normal,6,6,5,3,4,4,1,3,3,4,2,15,14,131,11,120,0,0,0,-0.2,21,4,138.0,0,89,100.0%,5,5,100.0%,1,1,50.0%,2,1,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
34759,J. ATKINS,,MIA,MLB,25,3,2.5 Stars,2.5 Stars,N,N,Fan Fav,8,7,4,2,6,2,1,4,1,3,2,121,121,1027,69,956,2,2,0,0.2,104,15,1080.0,6,564,100.0%,33,33,100.0%,7,7,91.7%,12,11,0.0%,0,0,0.0%,0,0,0,6.9,0.0
37829,B. AYLIFFE,,PHI,MLB,30,12,2.0 Stars,2.0 Stars,H,N,Normal,5,5,5,1,3,3,1,1,3,3,2,42,40,323,23,298,2,0,0,-0.1,38,6,354.0,1,222,87.5%,8,7,100.0%,3,3,100.0%,2,2,0.0%,0,0,0.0%,0,0,0,-0.5,0.0
28298,C. BOOTH,,CHN,MLB,23,8,2.0 Stars,2.5 Stars,N,N,Normal,5,5,5,1,2,4,1,1,4,5,2,5,5,45,6,39,0,0,0,0.3,6,2,43.0,0,29,100.0%,3,3,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,-0.8,0.0
34531,C. BREWER,,BAL,MLB,24,6,3.0 Stars,4.5 Stars,H,L,Fan Fav,7,6,5,3,3,3,3,6,4,2,2,61,60,556,35,518,3,1,0,-0.2,43,7,530.0,2,242,88.9%,9,8,100.0%,1,1,81.8%,11,9,0.0%,0,0,0.0%,0,0,0,-1.5,0.0
