ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
39746,J. BUSTAMANTE,,NYA,AA,27,9,2.0 Stars,2.0 Stars,H,L,Captain,1,1,1,8,6,6,1,7,8,9,8,12,6,25,0,25,0,0,0,-0.7,0,0,62.0,0,0,100.0%,17,17,100.0%,6,6,50.0%,4,2,0.0%,2,0,0.0%,2,0,4,0.0,-0.1
38957,D. MEGGISON,,BAL,AA,24,3,2.0 Stars,2.5 Stars,H,L,Humble,1,1,1,3,2,6,3,7,5,7,8,5,5,9,0,9,0,0,0,0.0,0,0,40.0,0,0,100.0%,7,7,0.0%,0,0,100.0%,2,2,0.0%,1,0,0.0%,0,0,6,0.0,0.5
28632,P. LÓPEZ,,CAR,AAA,25,9,2.0 Stars,2.5 Stars,N,N,Normal,1,1,1,1,1,7,1,7,6,6,8,2,0,2,0,2,0,0,0,-0.5,0,0,4.0,0,0,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
29397,J. DEAL,,NYA,AAA,26,10,1.5 Stars,2.0 Stars,N,N,Normal,1,1,1,7,8,5,8,9,5,8,8,3,3,10,1,9,0,0,0,0.3,0,0,25.0,0,0,100.0%,5,5,100.0%,1,1,50.0%,2,1,100.0%,1,1,100.0%,1,1,2,0.0,0.3
37474,H. KESSLER,,MIN,AAA,29,6,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,5,4,3,5,9,7,6,8,16,11,33,2,30,1,0,0,-0.0,0,0,101.0,0,0,94.7%,19,18,100.0%,5,5,100.0%,2,2,57.1%,7,4,14.3%,7,1,9,0.0,0.7
37929,J. ABDALA,,PIT,MLB,25,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,4,6,5,7,8,9,8,37,34,79,1,78,0,0,0,-6.1,0,0,305.1,0,0,98.1%,53,52,88.2%,17,15,40.0%,10,4,33.3%,21,7,0.0%,10,0,27,0.0,4.5
38144,M. ALIGHIERI,,ARI,MLB,24,7,2.0 Stars,2.0 Stars,N,L,Outspoken,1,1,1,10,10,10,7,9,10,10,8,11,11,27,1,26,0,0,0,-1.5,0,0,82.1,0,0,94.4%,18,17,100.0%,5,5,50.0%,2,1,50.0%,2,1,33.3%,6,2,15,0.0,1.8
38069,G. ARREDONDO,,SEA,MLB,28,7,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,2,2,9,1,7,7,10,8,2,0,4,0,4,0,0,0,-0.7,0,0,8.2,0,0,75.0%,4,3,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
39057,C. BARBOUR,,CIN,MLB,26,3,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,4,3,7,1,9,7,10,8,106,102,302,8,292,2,0,0,10.0,0,0,894.0,0,0,99.4%,166,165,100.0%,62,62,86.0%,43,37,60.5%,38,23,14.7%,34,5,84,0.0,1.2
35213,G. BEASLEY,,TBA,MLB,24,3,2.5 Stars,3.0 Stars,N,H,Normal,1,1,1,1,1,6,1,6,8,8,8,2,2,4,0,4,0,0,0,-0.5,0,0,17.0,0,0,75.0%,4,3,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,1,0.0,0.0
33683,B. BERNARD,,MIN,MLB,24,6,2.5 Stars,2.5 Stars,N,N,Outspoken,1,1,1,3,3,5,3,9,7,6,8,154,150,453,2,451,0,0,0,15.9,0,0,1320.2,0,0,100.0%,254,254,97.9%,94,92,80.0%,70,56,64.3%,56,36,24.5%,53,13,135,0.0,13.3
37713,T. BEWICK,,TBA,MLB,25,5,1.5 Stars,2.0 Stars,H,N,Normal,1,1,1,4,3,6,3,8,5,8,8,89,89,254,0,250,4,0,0,-11.7,0,0,758.2,0,0,98.8%,168,166,78.6%,56,44,62.5%,40,25,44.8%,29,13,7.4%,27,2,73,0.0,12.1
36928,N. BRADLEY,,BAL,MLB,33,13,5.0 Stars,5.0 Stars,H,N,Normal,1,1,1,2,1,5,1,7,5,5,8,8,3,11,0,11,0,0,0,-0.8,0,0,32.0,0,0,100.0%,8,8,100.0%,2,2,33.3%,3,1,0.0%,0,0,0.0%,2,0,2,0.0,0.4
32227,S. BURNS,,MIN,MLB,30,12,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,6,4,4,4,7,7,7,8,9,7,19,0,19,0,0,0,-0.8,0,0,67.0,0,0,100.0%,11,11,100.0%,4,4,57.1%,7,4,0.0%,0,0,0.0%,3,0,9,0.0,0.7
31913,G. CARSON,,BOS,MLB,28,10,2.5 Stars,2.5 Stars,L,N,Normal,1,1,1,5,3,6,4,7,6,9,8,19,13,44,2,42,0,0,0,-3.7,0,0,119.2,0,0,96.7%,30,29,54.5%,11,6,50.0%,4,2,33.3%,9,3,40.0%,5,2,10,0.0,0.2
41639,A. CASTILLO,,BOS,MLB,36,18,2.5 Stars,2.5 Stars,N,H,Normal,1,1,1,4,3,3,1,6,5,5,8,5,4,7,0,7,0,0,0,-1.5,0,0,35.0,0,0,83.3%,6,5,66.7%,3,2,0.0%,0,0,0.0%,1,0,0.0%,1,0,4,0.0,-0.1
40754,F. CASTILLO,,OAK,MLB,29,13,3.0 Stars,3.0 Stars,H,N,Normal,1,1,1,1,2,5,1,7,7,9,8,2,2,7,0,7,0,0,0,0.1,0,0,17.0,0,0,100.0%,3,3,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,2,0.0,-0.1
37225,M. CHILDS,,CLE,MLB,24,3,4.0 Stars,4.0 Stars,N,N,Captain,1,1,1,8,6,5,7,7,5,6,8,5,1,6,0,6,0,0,0,-0.7,0,0,18.0,0,0,100.0%,3,3,100.0%,2,2,50.0%,2,1,0.0%,2,0,0.0%,3,0,3,0.0,1.0
36049,L. CHURCH,,HOU,MLB,29,10,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,4,3,4,4,9,8,6,8,22,16,59,2,57,0,0,0,2.3,0,0,159.0,0,0,100.0%,33,33,100.0%,10,10,70.0%,10,7,57.1%,7,4,50.0%,6,3,17,0.0,-0.0
41238,C. CHÁVEZ,,SLN,MLB,22,6,1.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,1,6,1,6,6,7,8,3,3,5,0,5,0,0,0,0.2,0,0,22.0,0,0,100.0%,1,1,0.0%,0,0,66.7%,3,2,100.0%,2,2,0.0%,1,0,3,0.0,0.1
