ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
32048,D. NORRIS,,COL,A,24,3,2.0 Stars,2.5 Stars,H,H,Normal,1,1,1,2,2,7,2,7,5,8,7,13,13,28,0,28,0,0,0,1.3,0,0,110.1,0,0,100.0%,21,21,100.0%,2,2,50.0%,2,1,50.0%,6,3,20.0%,5,1,10,0.0,0.0
39746,J. BUSTAMANTE,,NYA,AA,27,9,2.0 Stars,2.0 Stars,H,L,Captain,1,1,1,8,6,6,1,7,8,9,7,4,4,7,0,6,1,0,0,0.7,0,0,34.0,0,0,100.0%,3,3,100.0%,1,1,0.0%,0,0,50.0%,2,1,33.3%,3,1,1,0.0,0.3
39530,Y. PELTIER,,BAL,AA,29,13,2.5 Stars,2.5 Stars,H,H,Captain,1,1,1,1,1,3,1,3,6,7,7,55,48,85,3,82,0,0,0,-5.9,0,0,428.1,0,0,94.1%,68,64,77.8%,18,14,75.0%,4,3,9.1%,11,1,0.0%,15,0,20,0.0,0.8
37557,A. AGUILAR,,TBA,AAA,25,9,2.0 Stars,2.0 Stars,N,N,Outspoken,1,1,1,4,3,4,3,3,4,5,7,6,6,17,1,16,0,0,0,-0.3,0,0,57.2,0,0,100.0%,11,11,100.0%,2,2,50.0%,4,2,33.3%,3,1,0.0%,2,0,1,0.0,-0.2
37474,H. KESSLER,,MIN,AAA,29,6,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,5,4,3,5,9,7,6,7,3,1,4,0,4,0,0,0,0.6,0,0,14.1,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,50.0%,2,1,0,0.0,0.3
37929,J. ABDALA,,PIT,MLB,25,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,4,6,5,7,8,9,7,12,12,29,0,29,0,0,0,0.2,0,0,108.0,0,0,100.0%,18,18,85.7%,7,6,80.0%,5,4,50.0%,2,1,0.0%,4,0,8,0.0,1.2
32107,D. BARNES,,SFN,MLB,30,12,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,1,2,6,1,6,8,8,7,43,26,63,1,62,0,0,0,3.5,0,0,270.2,0,0,100.0%,44,44,100.0%,9,9,100.0%,5,5,44.4%,9,4,0.0%,7,0,16,0.0,2.1
33885,P. BASTIEN,,BAL,MLB,33,18,2.5 Stars,2.5 Stars,H,N,Sparkplug,1,1,1,5,8,8,8,7,8,10,7,50,18,51,0,51,0,0,0,2.6,0,0,194.1,0,0,100.0%,35,35,100.0%,7,7,66.7%,6,4,33.3%,3,1,57.1%,7,4,9,0.0,0.3
39324,R. BOWMAN,,PHI,MLB,24,6,2.5 Stars,4.0 Stars,H,N,Normal,1,1,1,4,3,3,3,4,6,5,7,3,0,2,0,2,0,0,0,-0.8,0,0,12.0,0,0,50.0%,2,1,100.0%,1,1,0.0%,0,0,0.0%,1,0,0.0%,0,0,1,0.0,0.0
36928,N. BRADLEY,,BAL,MLB,33,13,5.0 Stars,5.0 Stars,H,N,Normal,1,1,1,2,1,5,1,7,5,5,7,75,73,163,1,158,4,0,0,4.6,0,0,619.2,0,0,99.2%,121,120,94.7%,19,18,81.8%,11,9,50.0%,14,7,21.1%,19,4,33,0.0,-0.3
36850,A. BRADSHAW,,LAN,MLB,25,5,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,6,5,2,4,5,5,4,7,53,45,68,0,67,1,0,0,-5.7,0,0,420.1,0,0,94.3%,53,50,76.9%,13,10,38.5%,13,5,12.5%,8,1,5.0%,20,1,32,0.0,-1.0
34531,C. BREWER,,BAL,MLB,24,6,3.0 Stars,4.5 Stars,H,L,Fan Fav,7,6,5,3,3,3,3,6,4,2,7,33,30,53,0,53,0,0,0,-3.2,0,0,248.1,0,0,97.7%,43,42,60.0%,10,6,40.0%,5,2,33.3%,6,2,16.7%,6,1,11,0.0,2.0
37156,R. BRUNSKILL,,CHN,MLB,29,8,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,4,4,3,1,6,7,6,7,6,6,12,0,12,0,0,0,0.4,0,0,49.0,0,0,100.0%,6,6,100.0%,4,4,100.0%,1,1,33.3%,3,1,0.0%,3,0,6,0.0,-0.3
31421,T. BURKE,,MIA,MLB,23,3,2.0 Stars,2.5 Stars,H,N,Sparkplug,1,1,1,7,4,4,4,7,5,4,7,4,0,1,0,1,0,0,0,0.0,0,0,7.0,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
32227,S. BURNS,,MIN,MLB,30,12,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,6,4,4,4,7,7,7,7,13,12,23,1,22,0,0,0,1.0,0,0,97.0,0,0,100.0%,12,12,100.0%,5,5,50.0%,4,2,100.0%,2,2,16.7%,6,1,7,0.0,0.4
31913,G. CARSON,,BOS,MLB,28,10,2.5 Stars,2.5 Stars,L,N,Normal,1,1,1,5,3,6,4,7,6,9,7,1,1,1,0,1,0,0,0,-0.1,0,0,8.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
37668,J. CASTANEDA,,CHA,MLB,30,11,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,5,3,5,1,6,6,7,7,90,83,196,2,192,2,0,0,2.2,0,0,749.1,0,0,100.0%,128,128,100.0%,43,43,57.9%,19,11,22.2%,18,4,14.3%,42,6,47,0.0,-0.4
41639,A. CASTILLO,,BOS,MLB,36,18,2.5 Stars,2.5 Stars,N,H,Normal,1,1,1,4,3,3,1,6,5,5,7,95,94,192,3,187,2,0,0,-0.3,0,0,833.0,0,0,99.3%,140,139,100.0%,33,33,69.2%,13,9,15.6%,32,5,3.3%,30,1,63,0.0,-2.4
40754,F. CASTILLO,,OAK,MLB,29,13,3.0 Stars,3.0 Stars,H,N,Normal,1,1,1,1,2,5,1,7,7,9,7,30,19,48,0,44,4,0,0,-0.8,0,0,172.0,0,0,93.5%,31,29,90.9%,11,10,66.7%,3,2,40.0%,5,2,50.0%,2,1,11,0.0,-0.3
39547,M. CASTILLO,,CIN,MLB,29,12,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,1,1,5,1,3,6,7,7,1,0,2,0,2,0,0,0,0.1,0,0,5.0,0,0,100.0%,1,1,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37225,M. CHILDS,,CLE,MLB,24,3,4.0 Stars,4.0 Stars,N,N,Captain,1,1,1,8,6,5,7,7,5,6,7,1,1,1,0,1,0,0,0,-0.0,0,0,9.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,2,0.0,0.3
41238,C. CHÁVEZ,,SLN,MLB,22,6,1.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,1,6,1,6,6,7,7,18,7,12,0,12,0,0,0,-0.3,0,0,84.0,0,0,100.0%,9,9,100.0%,2,2,0.0%,0,0,0.0%,4,0,25.0%,4,1,5,0.0,0.5
34530,I. CHÁVEZ,,NYA,MLB,32,13,2.5 Stars,2.5 Stars,L,N,Normal,1,1,1,3,4,8,3,9,6,9,7,6,2,2,0,2,0,0,0,-0.1,0,0,22.1,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,2,0.0,0.2
28362,Á. CHÁVEZ,,CHN,MLB,25,9,2.5 Stars,3.0 Stars,H,H,Normal,1,1,1,4,3,4,3,7,4,6,7,106,105,203,0,201,2,0,0,5.3,0,0,900.1,0,0,100.0%,137,137,97.4%,39,38,40.0%,15,6,46.9%,32,15,12.5%,40,5,58,0.0,-2.3
34572,S. CORBIN,,PHI,MLB,28,8,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,3,9,2,7,7,10,7,5,4,6,0,6,0,0,0,-0.5,0,0,37.0,0,0,100.0%,5,5,100.0%,1,1,0.0%,0,0,0.0%,1,0,0.0%,1,0,2,0.0,-0.1
39459,E. CRIVELLI,,NYN,MLB,23,7,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,2,3,4,2,9,7,5,7,8,1,6,0,6,0,0,0,-0.0,0,0,21.0,0,0,100.0%,5,5,0.0%,0,0,100.0%,1,1,0.0%,1,0,0.0%,0,0,1,0.0,0.0
29427,R. DAY,,BOS,MLB,30,14,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,1,2,3,3,4,5,4,7,7,0,3,0,3,0,0,0,0.1,0,0,13.0,0,0,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
31709,R. DE LA ROSA,,WAS,MLB,30,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,2,4,1,5,5,5,7,51,45,73,1,72,0,0,0,-1.6,0,0,392.1,0,0,94.3%,53,50,91.7%,12,11,75.0%,8,6,15.4%,13,2,16.7%,18,3,31,0.0,-1.9
31625,G. DONNELLY,,PHI,MLB,30,13,2.5 Stars,2.5 Stars,L,N,Disruptive,1,1,1,1,1,5,1,5,4,8,7,13,6,15,0,14,1,0,0,-1.2,0,0,55.0,0,0,93.3%,15,14,0.0%,1,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,6,0.0,-0.2
32833,D. DOYLE,,MON,MLB,26,7,2.5 Stars,2.5 Stars,N,N,Normal,4,4,6,2,3,5,1,6,5,7,7,5,0,1,0,1,0,0,0,-0.0,0,0,11.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37578,J. DURÁN,,LAN,MLB,25,3,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,3,4,6,1,9,8,4,7,61,58,109,0,108,1,0,0,4.6,0,0,511.0,0,0,100.0%,74,74,82.4%,17,14,63.6%,11,7,54.5%,11,6,33.3%,21,7,22,0.0,1.8
27576,L. DÍAZ,,CIN,MLB,26,9,2.5 Stars,3.5 Stars,H,N,Normal,1,1,1,4,4,4,1,6,5,7,7,134,132,260,5,252,3,1,0,-0.9,0,0,1149.2,0,0,99.5%,183,182,95.9%,49,47,55.6%,27,15,10.7%,28,3,10.0%,50,5,66,0.0,-0.9
35948,M. ELDRIDGE,,COL,MLB,31,9,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,8,7,2,1,7,6,6,7,19,19,35,1,33,1,0,0,-0.9,0,0,176.2,0,0,96.2%,26,25,100.0%,5,5,25.0%,4,1,16.7%,6,1,14.3%,7,1,15,0.0,-0.1
41500,M. ENRIQUER,,MIA,MLB,30,5,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,4,2,1,7,4,5,7,26,18,48,0,46,2,0,0,2.2,0,0,182.0,0,0,100.0%,35,35,80.0%,5,4,100.0%,1,1,42.9%,7,3,33.3%,9,3,15,0.0,-0.3
37815,P. ESCOBAR,,SDN,MLB,29,13,2.0 Stars,2.0 Stars,H,N,Sparkplug,1,1,1,4,4,5,1,7,6,9,7,89,67,139,4,132,3,2,0,4.7,0,0,608.0,0,0,100.0%,99,99,100.0%,15,15,44.4%,9,4,35.7%,14,5,21.4%,42,9,42,0.0,-0.6
33254,C. FERNÁNDEZ,,SLN,MLB,26,3,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,5,5,1,9,7,7,7,12,5,10,0,10,0,0,0,-0.2,0,0,53.0,0,0,100.0%,8,8,100.0%,1,1,50.0%,2,1,0.0%,0,0,0.0%,1,0,1,0.0,0.0
41516,T. FLORES,,BOS,MLB,32,16,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,3,3,4,4,6,10,7,7,41,37,67,0,67,0,0,0,2.7,0,0,335.1,0,0,100.0%,39,39,100.0%,18,18,55.6%,9,5,33.3%,9,3,11.1%,18,2,28,0.0,-0.4
33311,M. FRY,,BOS,MLB,27,6,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,3,8,1,4,6,10,7,6,2,5,0,5,0,0,0,-0.4,0,0,28.0,0,0,100.0%,3,3,100.0%,2,2,0.0%,0,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
41359,H. FUJII,,OAK,MLB,39,22,2.5 Stars,2.5 Stars,H,H,Captain,1,1,1,2,4,5,5,3,7,7,7,4,4,8,0,8,0,0,0,-0.1,0,0,34.0,0,0,100.0%,6,6,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,2,0,1,0.0,-0.0
32677,J. GARCÍA,,LAA,MLB,30,9,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,3,4,3,3,3,6,6,7,8,0,4,0,4,0,0,0,0.2,0,0,12.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,1,0.0,0.3
33301,P. GARCÍA,,SLN,MLB,27,6,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,4,3,3,4,6,6,6,7,21,19,33,0,33,0,0,0,0.4,0,0,179.1,0,0,100.0%,23,23,100.0%,4,4,66.7%,3,2,28.6%,7,2,20.0%,10,2,13,0.0,-0.1
28873,M. GARLAND,,PHI,MLB,29,12,2.5 Stars,2.5 Stars,N,L,Normal,1,1,1,1,1,3,1,5,5,5,7,11,3,10,0,10,0,0,0,-0.2,0,0,47.0,0,0,100.0%,8,8,100.0%,1,1,0.0%,1,0,0.0%,1,0,25.0%,4,1,2,0.0,0.1
34830,T. GARZA,,MIA,MLB,25,8,3.0 Stars,3.5 Stars,N,N,Normal,1,1,1,7,5,5,5,7,6,8,7,2,2,8,0,8,0,0,0,0.1,0,0,19.0,0,0,100.0%,5,5,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
29560,D. GIBSON,,COL,MLB,25,10,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,2,2,6,2,7,6,7,7,90,88,169,2,165,2,0,0,2.1,0,0,789.2,0,0,99.2%,121,120,100.0%,27,27,76.9%,13,10,31.6%,19,6,5.3%,38,2,35,0.0,-1.4
37904,A. GONZÁLES,,CIN,MLB,24,7,2.5 Stars,3.0 Stars,H,N,Normal,1,1,1,1,2,6,1,6,6,7,7,10,10,21,1,20,0,0,0,-0.3,0,0,84.2,0,0,100.0%,13,13,75.0%,8,6,0.0%,0,0,33.3%,3,1,0.0%,8,0,6,0.0,-0.5
29794,P. GONZÁLES,,OAK,MLB,29,12,2.5 Stars,2.5 Stars,N,L,Normal,1,1,1,4,4,2,4,6,8,5,7,19,15,31,0,31,0,0,0,-0.1,0,0,130.0,0,0,100.0%,25,25,100.0%,4,4,0.0%,2,0,50.0%,2,1,14.3%,7,1,5,0.0,-0.0
35402,M. GONZÁLEZ,,TOR,MLB,29,10,2.5 Stars,2.5 Stars,H,N,Normal,1,1,1,4,3,3,1,8,5,6,7,137,132,253,3,245,5,2,0,1.4,0,0,1155.2,0,0,100.0%,177,177,91.1%,45,41,71.4%,21,15,24.2%,33,8,8.5%,47,4,54,0.0,-2.9
38708,A. GRACÍA,,LAN,MLB,32,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,3,2,5,1,5,6,6,7,15,13,29,0,29,0,0,0,-0.7,0,0,115.1,0,0,100.0%,21,21,100.0%,3,3,62.5%,8,5,0.0%,3,0,0.0%,4,0,7,0.0,-0.1
