ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
31468,R. GALINDO,,SEA,MLB,32,16,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,1,1,3,4,1,3,1,1,34,10,11,6,3,2,0,0,-2.0,17,1,114.1,0,0,62.5%,8,5,100.0%,2,2,0.0%,2,0,0.0%,0,0,0.0%,0,0,0,-0.7,0.0
35864,J. MILLER,,CIN,MLB,31,9,3.0 Stars,3.0 Stars,H,H,Fan Fav,1,1,1,1,2,8,1,3,1,4,1,58,0,4,3,1,0,0,0,-0.2,3,0,62.2,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.3,0.0
30837,B. CHÁVEZ,,CHA,A,23,7,2.0 Stars,2.0 Stars,N,H,Normal,1,1,1,2,3,5,3,3,1,1,1,13,0,2,1,1,0,0,0,-0.3,2,0,22.1,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.5,0.0
34213,D. MULLER,,CHA,A,25,6,2.5 Stars,2.5 Stars,N,L,Normal,1,1,1,5,2,3,2,2,3,1,1,35,0,5,3,2,0,0,0,0.4,2,1,45.1,0,0,66.7%,3,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
27442,I. SMITH,,TOR,A,23,8,2.0 Stars,2.5 Stars,N,N,Normal,1,1,1,2,1,7,1,4,2,3,1,5,0,1,0,1,0,0,0,0.0,0,0,3.2,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
29405,G. MADDEN,,TEX,AA,29,13,2.0 Stars,2.5 Stars,N,N,Normal,1,1,1,1,3,5,1,1,1,2,1,11,6,10,3,6,1,0,0,-0.3,1,0,45.0,0,0,75.0%,4,3,0.0%,2,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.5,0.0
33929,E. CHÁVEZ,,BAL,AA,32,13,2.0 Stars,2.0 Stars,H,N,Sparkplug,1,1,1,1,1,6,1,1,1,2,1,41,0,6,4,1,1,0,0,0.1,3,1,58.2,0,0,100.0%,2,2,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
33218,P. COLÓN,,BAL,AA,31,12,2.0 Stars,2.0 Stars,N,H,Normal,1,1,1,1,2,4,4,1,1,6,1,16,0,2,1,1,0,0,0,0.1,1,0,19.2,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.1,0.0
33793,H. LONG,,BAL,AA,27,6,2.5 Stars,3.0 Stars,H,N,Sparkplug,1,1,1,2,2,7,1,2,1,4,1,20,0,4,4,0,0,0,0,0.1,6,1,41.2,0,0,100.0%,3,3,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
34829,R. CARABALLO,,MIA,AAA,24,4,2.5 Stars,2.5 Stars,H,N,Captain,1,1,1,2,4,3,4,4,5,3,1,18,0,5,2,3,0,0,0,-0.2,3,0,28.2,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.4,0.0
41154,F. CRUZ,,OAK,AAA,36,14,2.0 Stars,2.0 Stars,N,N,Normal,1,1,1,3,2,5,1,2,3,1,1,5,4,1,0,1,0,0,0,-0.4,5,0,14.1,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
32485,M. DE LA ROSA,,SEA,AAA,28,10,1.5 Stars,1.5 Stars,N,N,Normal,1,1,1,2,1,5,1,3,1,4,1,16,16,11,9,2,0,0,0,0.1,5,0,77.0,0,0,100.0%,8,8,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,-0.0,0.0
38544,N. EMMER,,ARI,AAA,31,9,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,3,2,6,1,3,1,3,1,6,2,2,1,1,0,0,0,0.0,1,0,18.1,0,0,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,-0.1,0.0
30701,P. GONZÁLEZ,,KCA,AAA,25,6,2.5 Stars,2.5 Stars,L,L,Normal,1,1,1,2,2,5,1,1,2,4,1,6,0,1,0,1,0,0,0,0.0,0,0,5.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
30149,J. HALL,,HOU,AAA,26,6,2.5 Stars,2.5 Stars,N,N,Normal,6,6,3,3,3,1,1,1,5,2,1,9,1,2,1,1,0,0,0,-0.2,3,0,22.1,0,0,100.0%,1,1,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.3,0.0
36324,B. HARRINGTON,,CAR,AAA,31,12,2.0 Stars,2.0 Stars,H,N,Fan Fav,1,1,1,1,2,6,1,2,1,1,1,5,0,4,3,1,0,0,0,0.0,1,0,10.0,0,0,100.0%,2,2,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.1,0.0
