ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
32048,D. NORRIS,,COL,A,24,3,2.0 Stars,2.5 Stars,H,H,Normal,1,1,1,2,2,7,2,7,5,8,9,5,5,8,0,8,0,0,0,0.7,0,0,45.0,0,0,100.0%,6,6,100.0%,1,1,0.0%,1,0,0.0%,0,0,50.0%,2,1,2,0.0,0.0
38426,F. DAUNTSEY,,ARI,AA,25,7,2.0 Stars,2.5 Stars,N,N,Normal,1,1,1,4,3,5,1,7,7,8,9,7,6,8,0,8,0,0,0,0.6,0,0,60.0,0,0,100.0%,5,5,100.0%,1,1,0.0%,0,0,25.0%,4,1,33.3%,3,1,2,0.0,-0.2
39746,J. BUSTAMANTE,,NYA,AA,27,9,2.0 Stars,2.0 Stars,H,L,Captain,1,1,1,8,6,6,1,7,8,9,9,10,7,16,0,16,0,0,0,0.4,0,0,70.0,0,0,100.0%,14,14,0.0%,0,0,0.0%,0,0,0.0%,1,0,40.0%,5,2,4,0.0,0.0
39530,Y. PELTIER,,BAL,AA,29,13,2.5 Stars,2.5 Stars,H,H,Captain,1,1,1,1,1,3,1,3,6,7,9,13,11,22,1,19,2,0,0,-1.0,0,0,99.0,0,0,86.7%,15,13,100.0%,4,4,100.0%,1,1,0.0%,1,0,25.0%,4,1,8,0.0,-0.3
33111,L. HOLSINGER,,SDN,AAA,25,8,2.0 Stars,2.0 Stars,N,L,Normal,1,1,1,2,2,5,1,6,6,8,9,39,15,27,0,27,0,0,0,-0.9,0,0,183.1,0,0,100.0%,21,21,100.0%,3,3,50.0%,6,3,0.0%,5,0,0.0%,9,0,10,0.0,-0.9
28632,P. LÓPEZ,,CAR,AAA,25,9,2.0 Stars,2.5 Stars,N,N,Normal,1,1,1,1,1,7,1,7,6,6,9,52,52,98,1,97,0,0,0,2.1,0,0,448.1,0,0,100.0%,71,71,88.9%,18,16,66.7%,9,6,30.0%,10,3,6.2%,16,1,26,0.0,-0.9
37474,H. KESSLER,,MIN,AAA,29,6,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,5,4,3,5,9,7,6,9,21,15,38,0,38,0,0,0,1.9,0,0,138.2,0,0,100.0%,32,32,100.0%,2,2,100.0%,1,1,50.0%,4,2,16.7%,6,1,10,0.0,0.8
37929,J. ABDALA,,PIT,MLB,25,9,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,7,4,6,5,7,8,9,9,12,9,21,1,20,0,0,0,-0.1,0,0,76.1,0,0,100.0%,17,17,100.0%,3,3,0.0%,1,0,0.0%,2,0,0.0%,4,0,5,0.0,0.5
38069,G. ARREDONDO,,SEA,MLB,28,7,3.0 Stars,3.0 Stars,N,N,Normal,1,1,1,2,2,9,1,7,7,10,9,143,142,329,15,310,4,1,0,7.3,0,0,1234.2,0,0,98.6%,217,214,91.1%,56,51,72.7%,33,24,36.4%,44,16,9.3%,54,5,73,0.0,4.8
38748,M. BALLERINI,,CIN,MLB,28,10,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,1,1,7,1,6,5,9,9,35,15,37,2,34,1,1,0,-1.1,0,0,189.2,0,0,100.0%,26,26,100.0%,3,3,55.6%,9,5,0.0%,3,0,0.0%,11,0,7,0.0,0.5
