ID,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
27643,G. RAMÍREZ,,ARI,MLB,25,9,1.5 Stars,2.0 Stars,N,N,Normal,1,1,1,7,10,7,9,1,5,6,6,40,36,159,99,58,2,24,0,-0.7,0,0,317.2,0,0,92.3%,91,84,76.9%,13,10,47.4%,19,9,35.7%,14,5,15.4%,26,4,6,0.0,0.0
37645,Á. GUSMÁN,,COL,AA,29,10,1.5 Stars,2.0 Stars,N,N,Normal,1,1,1,9,10,10,8,7,10,10,6,8,8,31,22,7,2,2,0,0.5,0,0,69.0,0,0,91.7%,24,22,66.7%,3,2,33.3%,3,1,50.0%,4,2,0.0%,4,0,0,0.0,0.0
32494,R. FARRIS,,MIA,AAA,24,8,2.0 Stars,2.0 Stars,N,N,Normal,1,1,1,5,5,4,6,6,5,2,6,4,1,5,3,2,0,0,0,0.2,0,0,15.0,0,0,100.0%,2,2,0.0%,0,0,0.0%,0,0,33.3%,3,1,33.3%,3,1,0,0.0,0.0
32005,M. WHITNEY,,SDN,AAA,27,9,2.0 Stars,2.0 Stars,H,H,Normal,1,1,1,7,6,9,8,6,5,7,6,3,0,3,1,1,1,0,0,-1.2,0,0,7.2,0,0,50.0%,4,2,0.0%,1,0,0.0%,1,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
40851,J. GONZÁLEZ,,BOS,AAA,27,10,2.0 Stars,2.0 Stars,N,N,Normal,1,1,1,8,7,5,7,2,8,5,6,39,39,156,107,44,5,27,0,-5.2,0,0,352.1,0,0,87.7%,106,93,44.4%,9,4,45.0%,20,9,36.8%,19,7,11.8%,34,4,7,0.0,0.0
29288,F. TORRES,,NYA,AAA,25,10,2.5 Stars,2.5 Stars,H,H,Normal,1,1,1,8,6,7,7,2,4,6,6,6,6,19,15,4,0,2,0,0.8,0,0,53.0,0,0,100.0%,13,13,0.0%,2,0,100.0%,2,2,60.0%,5,3,33.3%,3,1,0,0.0,0.0
38144,M. ALIGHIERI,,ARI,MLB,24,7,2.0 Stars,2.0 Stars,N,L,Outspoken,1,1,1,10,10,10,7,9,10,10,6,131,125,539,357,170,12,75,0,12.8,0,0,1104.0,0,0,95.4%,323,308,74.0%,50,37,56.2%,48,27,34.8%,46,16,26.7%,60,16,23,0.0,-0.0
37422,C. ALLCORN,,CIN,MLB,25,6,2.0 Stars,2.0 Stars,H,N,Normal,1,1,1,8,10,8,10,6,7,8,6,103,103,423,283,131,9,58,0,9.2,0,0,897.1,0,0,92.7%,262,243,63.6%,22,14,67.4%,43,29,38.3%,47,18,23.9%,46,11,11,0.0,0.0
37804,T. APONTE,,NYA,MLB,29,8,2.5 Stars,2.5 Stars,N,N,Normal,1,1,1,8,8,9,8,4,6,9,6,145,143,635,417,204,14,72,0,17.8,0,0,1288.0,0,0,93.9%,378,355,68.4%,57,39,64.3%,70,45,34.6%,78,27,29.7%,91,27,26,0.0,0.0
34443,A. AVERY,,LAA,MLB,24,5,2.5 Stars,2.5 Stars,N,H,Captain,1,1,1,9,8,6,9,5,6,6,6,49,39,179,102,72,5,21,0,1.8,0,0,364.1,0,0,93.9%,115,108,61.5%,13,8,69.2%,13,9,21.4%,28,6,13.6%,22,3,9,0.0,0.0
