ID,POS,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,DEF,SS,DEF Pot,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
38144,SS,M. ALIGHIERI,,ARI,MLB,24,7,2.0 Stars,2.0 Stars,L,N,L,4,4,4,3,5,5,4,4,4,3,5,5,10,10,10,8,10,141,140,509,477,105,83,9,3,10,36,57,28,5.5,0,0,14,4,1,106,20.8,3,.220,.261,.314,53,.260,52,1.1,3.65,30,5,-29.4,1.5,4.9,11.3,1.048
33869,SS,J. ANDRÉS,,-,-,34,18,1.5 Stars,1.5 Stars,L,H,N,3,2,5,4,5,4,2,3,5,4,5,4,10,10,10,10,10,126,125,412,375,54,40,9,0,5,31,36,29,7.0,0,2,16,6,1,93,22.6,4,.144,.206,.208,11,.173,8,-0.3,3.80,32,2,-45.8,-1.3,4.5,19.2,1.132
32798,SS,J. CARRASEO,,ATL,MLB,31,9,2.0 Stars,2.0 Stars,N,L,N,4,5,6,4,4,2,5,4,6,4,4,2,10,10,10,5,4,150,150,451,436,79,54,16,1,8,29,40,12,2.7,0,2,6,1,1,160,35.5,9,.181,.206,.278,31,.264,26,-0.2,3.70,2,5,-40.6,0.2,-2.5,19.6,1.098
37645,SS,Á. GUSMÁN,,COL,AA,29,10,1.5 Stars,2.0 Stars,L,N,N,4,4,4,3,6,3,4,4,4,3,7,4,10,10,10,8,8,9,8,27,23,3,3,0,0,0,2,3,3,11.1,0,0,1,1,0,7,25.9,0,.130,.222,.130,-2,.176,0,-0.1,4.15,2,0,-3.3,0.2,0.6,0.5,1.109
34502,SS,R. LORENZO,,MIN,MLB,31,13,2.5 Stars,2.5 Stars,H,H,N,4,4,4,3,5,5,4,4,4,3,5,5,10,10,10,9,10,150,148,535,493,89,77,8,2,2,34,45,36,6.7,0,0,7,6,0,109,20.4,15,.181,.234,.217,23,.224,21,-0.7,3.71,9,3,-51.2,0.8,0.2,19.2,1.103
37422,SS,C. ALLCORN,,CIN,MLB,25,6,2.0 Stars,2.0 Stars,N,H,N,5,5,6,3,5,5,5,5,6,3,5,5,9,9,9,5,5,107,107,380,351,82,63,15,2,2,35,31,25,6.6,0,2,0,2,0,97,25.5,11,.234,.287,.305,61,.315,61,0.6,3.72,1,0,-17.7,-1.9,-2.7,9.5,1.074
36070,SS,G. SANTOS,,BOS,MLB,31,14,2.0 Stars,2.0 Stars,H,N,L,4,4,4,2,5,5,4,4,4,2,5,5,9,9,9,9,10,69,68,233,214,45,36,8,1,0,13,20,18,7.7,0,0,14,1,0,55,23.6,2,.210,.270,.257,43,.281,44,0.6,3.90,14,3,-15.8,-0.4,0.8,10.6,1.136
36416,SS,B. YOUNG,,CLE,MLB,26,3,2.5 Stars,2.5 Stars,L,N,N,5,5,4,5,5,4,5,6,4,5,5,6,9,9,9,2,2,146,143,519,473,117,96,15,0,6,48,47,37,7.1,0,4,1,5,0,125,24.1,15,.247,.304,.317,71,.320,71,2.0,3.68,0,1,-17.7,-1.3,-3.3,17.3,1.101
37804,SS,T. APONTE,,NYA,MLB,29,8,2.5 Stars,2.5 Stars,H,N,N,7,6,8,2,4,7,7,7,8,2,5,7,8,8,8,7,6,148,144,602,571,148,103,41,3,1,43,84,28,4.7,0,1,20,2,0,79,13.1,8,.259,.294,.347,74,.298,73,2.6,3.43,19,5,-19.5,0.7,1.3,17.8,1.086
34443,SS,A. AVERY,,LAA,MLB,24,5,2.5 Stars,2.5 Stars,N,N,H,5,5,6,4,5,5,5,5,6,4,6,5,8,8,8,6,5,58,47,188,178,40,29,5,1,5,12,24,8,4.3,0,1,1,1,0,43,22.9,3,.225,.261,.348,66,.267,63,0.1,3.46,6,0,-8.3,0.3,1.3,-0.5,1.027
