ID,POS,RL,Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
39314,SP,SP,BILL PARKER,,CAR,MLB,25,3,5.0 Stars,5.0 Stars,H,N,Normal,10,6,4,7,6,10,6,4,7,6,95-97,33,33,18,3,197.1,777,680,100,71,12,2,15,56,48,90,0,314,2,2.19,.241,0.96,14.3,4.1,0.7,3.5,28.8,3,2,2,0,0,6,0,0,3134,137,127,17,4,201,2.58,58,7.3
38862,SP,SP,RAY HOPF,,MIA,MLB,28,9,3.5 Stars,4.0 Stars,N,N,Selfish,6,7,5,7,7,6,7,5,7,8,92-94,36,36,18,12,217.2,921,843,210,143,44,6,17,101,98,69,0,229,2,4.05,.321,1.28,9.5,2.9,0.7,3.3,17.4,2,5,2,0,0,14,0,0,3402,187,216,23,1,111,3.26,72,6.2
30607,SP,SP,BLAKE STEWART,,SLN,MLB,31,15,4.5 Stars,4.5 Stars,H,N,Normal,7,7,5,7,8,7,7,5,7,8,92-94,36,36,13,10,212.2,889,805,193,124,53,5,11,91,82,70,0,210,7,3.47,.308,1.24,8.9,3.0,0.5,3.0,15.7,0,6,10,1,1,20,0,0,3363,188,208,5,8,125,3.16,72,6.1
39353,SP,SP,RICK VINSON,,CIN,MLB,32,13,4.5 Stars,4.5 Stars,N,N,Normal,6,7,7,6,7,6,7,7,6,7,93-95,32,32,17,7,205.0,808,754,159,109,32,0,18,60,58,35,0,204,11,2.55,.263,0.95,9.0,1.5,0.8,5.8,20.9,4,4,8,0,0,13,0,0,2978,173,219,6,5,174,3.20,72,5.9
33801,SP,SP,KEITH NELSON,,TOR,MLB,26,6,4.5 Stars,4.5 Stars,N,N,Normal,6,6,8,6,6,6,6,8,6,6,94-96,36,36,14,14,219.1,902,842,205,139,42,3,21,86,83,44,0,205,10,3.41,.297,1.14,8.4,1.8,0.9,4.7,17.8,3,3,10,0,0,20,0,0,3341,210,219,12,2,132,3.49,77,5.6
36928,SP,SP,NICHOLAS BRADLEY,,BAL,MLB,33,13,5.0 Stars,5.0 Stars,H,N,Normal,7,6,8,6,7,7,6,8,6,7,94-96,35,35,14,9,207.0,844,788,189,120,49,3,17,91,82,49,0,179,0,3.57,.288,1.15,7.8,2.1,0.7,3.7,15.4,1,6,6,2,0,20,0,0,3026,201,215,16,1,125,3.42,76,5.4
39804,SP,SP,JOSÉ GÓMEZ,,BOS,MLB,24,7,5.0 Stars,5.0 Stars,N,N,Normal,9,7,7,7,7,9,7,8,7,7,93-95,33,33,10,9,176.2,725,673,153,95,40,4,14,77,74,46,0,191,4,3.77,.296,1.13,9.7,2.3,0.7,4.2,20.0,0,2,5,0,0,6,0,0,2807,159,169,25,1,119,3.09,68,5.4
37933,SP,SP,JO SATO,,TOR,MLB,36,20,3.5 Stars,3.5 Stars,N,N,Normal,5,6,8,6,6,5,6,8,6,6,94-96,32,32,15,8,207.0,858,797,212,152,40,6,14,77,72,47,1,157,4,3.13,.313,1.25,6.8,2.0,0.6,3.3,12.8,3,7,6,0,0,15,0,0,3150,197,233,26,11,144,3.46,76,5.4
30474,SP,SP,PHIL WILLIAMS,,LAA,MLB,33,14,3.5 Stars,3.5 Stars,N,N,Normal,5,6,8,6,7,5,6,8,6,7,93-95,30,29,12,6,194.0,791,738,174,125,30,6,13,81,76,34,0,162,11,3.53,.283,1.07,7.5,1.6,0.6,4.8,16.2,2,6,8,0,0,16,1,0,2954,207,195,13,2,124,3.27,74,5.3
33118,SP,SP,MIKE ALONSO,,CAR,MLB,25,8,5.0 Stars,5.0 Stars,N,H,Normal,5,8,7,7,8,5,8,7,7,8,87-89,30,30,16,6,203.2,822,759,175,124,37,1,13,73,68,51,0,164,5,3.00,.276,1.11,7.2,2.3,0.6,3.2,13.7,1,6,5,0,0,16,0,0,2973,214,209,13,1,147,3.42,77,5.2
37564,SP,SP,TYRONE BRYANT,,TOR,MLB,27,6,4.5 Stars,5.0 Stars,L,H,Disruptive,7,7,6,7,8,9,8,6,7,8,91-93,36,36,10,10,207.1,867,789,188,132,28,8,20,95,85,62,0,207,7,3.69,.296,1.21,9.0,2.7,0.9,3.3,16.7,4,5,13,3,0,12,0,0,3275,185,206,17,8,122,3.63,80,4.9
29480,SP,SP,OWEN FERGUSON,,CHN,MLB,26,6,4.0 Stars,4.0 Stars,H,N,Fan Fav,6,7,7,6,7,6,7,7,6,7,91-93,34,34,7,12,185.2,805,730,190,131,38,3,18,102,91,62,3,201,4,4.41,.331,1.36,9.7,3.0,0.9,3.2,17.3,1,8,5,1,0,13,0,0,3105,161,178,23,2,101,3.49,78,4.7
27924,SP,SP,MICHAEL DOWNEY,,NYN,MLB,26,11,3.5 Stars,4.0 Stars,N,N,Normal,5,7,5,6,7,7,7,5,6,7,92-94,33,33,12,8,203.2,821,738,160,114,31,2,13,69,60,63,0,176,7,2.65,.263,1.09,7.8,2.8,0.6,2.8,13.8,2,11,10,2,0,17,0,0,3004,200,207,13,3,159,3.51,82,4.6
35972,SP,SP,CARLOS COSTELLO,,LAN,MLB,23,6,4.5 Stars,4.5 Stars,N,L,Normal,6,7,7,7,7,6,7,9,7,7,92-94,34,34,12,9,194.2,808,743,173,105,49,2,17,82,69,58,0,183,2,3.19,.286,1.19,8.5,2.7,0.8,3.2,15.5,2,3,7,1,0,14,0,0,3125,188,194,34,3,137,3.55,81,4.6
36566,SP,SP,JU-IL KANG,,BOS,MLB,25,9,4.5 Stars,4.5 Stars,N,H,Fan Fav,8,7,6,7,6,8,7,6,7,6,92-94,32,32,11,6,186.0,744,681,150,107,24,0,19,73,73,47,0,189,9,3.53,.273,1.06,9.1,2.3,0.9,4.0,19.1,1,6,11,1,0,17,0,0,2745,150,197,6,2,127,3.57,79,4.5
35776,RP,RP,JORGE TORRES,,DET,MLB,35,13,2.5 Stars,2.5 Stars,H,N,Sparkplug,5,5,7,6,5,5,5,7,6,5,91-93,32,32,11,8,185.2,737,694,159,97,34,7,21,76,70,33,0,158,3,3.39,.265,1.03,7.7,1.6,1.0,4.8,17.0,1,6,5,0,0,12,0,0,2716,163,218,11,5,134,3.72,81,4.3
36040,SP,SP,JEFFREY MONTGOMERY,,DET,MLB,32,12,2.5 Stars,2.5 Stars,H,N,Sparkplug,5,6,7,6,6,5,6,7,6,6,94-96,34,29,12,8,185.1,767,713,173,117,37,3,16,79,77,46,1,149,5,3.74,.285,1.18,7.2,2.2,0.8,3.2,13.4,1,2,1,0,0,13,6,1,2703,192,195,24,3,122,3.70,81,4.2
34138,SP,SP,ORLANDO CARO,,COL,MLB,27,9,4.0 Stars,4.0 Stars,H,H,Fan Fav,5,7,5,6,7,6,7,6,6,8,96-98,33,33,12,13,193.2,822,731,166,115,33,3,15,80,72,78,5,167,4,3.35,.273,1.26,7.8,3.6,0.7,2.1,10.8,5,4,7,2,0,12,0,0,3089,197,199,25,4,136,3.85,84,4.2
31101,SP,SP,JESÚS ZAGAL,,DET,MLB,33,16,3.5 Stars,3.5 Stars,H,N,Fan Fav,6,6,6,7,5,6,6,6,7,5,95-97,33,33,15,9,198.0,807,741,176,99,45,8,24,86,82,52,0,185,6,3.73,.283,1.15,8.4,2.4,1.1,3.6,16.5,2,6,8,2,0,22,0,0,2998,177,202,6,3,122,3.96,86,4.0
33786,SP,SP,KYLE HART,,MIL,MLB,27,7,3.5 Stars,4.0 Stars,N,L,Normal,8,6,7,7,6,8,7,7,7,6,91-93,36,36,15,10,231.0,973,885,215,135,48,4,28,107,101,60,0,214,15,3.94,.287,1.19,8.3,2.3,1.1,3.6,15.8,3,9,7,2,1,12,0,0,3539,204,256,22,3,112,4.07,92,4.0
