Name + ORG,ID,Name,ORG,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R,BIZ-Rm,BIZ-L,BIZ-Lm,BIZ-E,BIZ-Em,BIZ-U,BIZ-Um,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
Hugh Tincher Bal,34995,Hugh Tincher,Baltimore Orioles,2,126,122,1229,75,1151,3,6,0,0.9,158,32,1125.1,5,588,37,37,6,6,8,8,0,0,0,0,0,9.3,0
Jax Leconte San,32664,Jax Leconte,San Francisco Giants,2,123,123,1059,68,984,7,1,0,0.8,125,26,1106.1,5,509,29,29,11,11,8,8,0,0,0,0,0,10.9,0
Nick Hasty Tam,13066,Nick Hasty,Tampa Bay Devil Rays,2,125,123,1099,68,1027,4,3,0,0.4,124,24,1100.1,5,675,37,35,10,10,8,7,0,0,0,0,0,8.4,0
Armando Segovia New,5695,Armando Segovia,New York Mets,2,123,122,1213,83,1128,2,3,0,1.7,119,28,1084.2,8,473,27,27,9,9,12,12,0,0,0,0,0,7.4,0
Micah Bunting Kan,32677,Micah Bunting,Kansas City Royals,2,123,123,981,51,923,7,0,0,-3.3,135,16,1073.1,7,715,31,29,11,11,10,10,0,0,0,0,0,7,0
Nathan Gutierrez Chi,30403,Nathan Gutierrez,Chicago Cubs,2,131,117,974,62,908,4,1,0,0.3,127,24,1063.1,3,478,24,23,10,9,15,14,0,0,0,0,0,10.5,0
Lonnie Lamberson Cle,8763,Lonnie Lamberson,Cleveland Guardians,2,122,121,1041,73,964,4,7,0,1.6,133,34,1059.1,4,504,17,17,2,2,14,12,0,0,1,0,0,8.4,0
Ethan Rotruck St.,28944,Ethan Rotruck,St. Louis Cardinals,2,119,118,987,48,934,5,3,0,-3.8,131,14,1053.2,7,529,26,26,6,6,8,6,0,0,0,0,0,5.4,0
Hyeong-Soon Shim New,19198,Hyeong-Soon Shim,New York Yankees,2,122,115,1027,65,959,3,6,0,2,113,26,1043,4,520,23,23,6,6,9,9,0,0,0,0,0,11.7,0
Solomon Roesner Was,35161,Solomon Roesner,Washington Nationals,2,127,127,1055,75,976,4,5,0,-1.2,125,21,1042.1,6,508,21,20,5,5,17,17,0,0,0,0,0,3.2,0
Andrés Fonseca Det,7688,Andrés Fonseca,Detroit Tigers,2,111,110,957,51,903,3,6,0,0.6,81,20,1021.2,9,401,24,24,5,5,4,3,0,0,1,0,0,2.7,0
Bento Velazquez Chi,26475,Bento Velazquez,Chicago White Sox,2,113,112,930,57,864,9,2,0,-1.5,112,22,1011.2,6,532,25,22,6,6,7,7,0,0,0,0,1,-1.5,0
Karter Hope Col,27290,Karter Hope,Colorado Rockies,2,124,113,994,59,929,6,2,0,0.9,102,21,1001,4,549,27,27,7,7,10,10,0,0,0,0,2,15.3,0
William Jones San,13843,William Jones,San Diego Padres,2,112,110,939,66,870,3,6,0,-0.9,145,23,986,3,574,25,24,5,5,13,12,0,0,1,0,0,9.6,0
Igone Guerrero Cin,7111,Igone Guerrero,Cincinnati Reds,2,108,108,911,56,855,0,4,0,-0.1,123,21,979.1,5,464,19,19,7,7,7,7,0,0,0,0,0,9.6,0
Leo Mendoza Mil,30400,Leo Mendoza,Milwaukee Brewers,2,113,108,918,59,854,5,2,0,0.1,101,18,953,4,425,28,27,7,7,7,7,1,1,0,0,0,3.5,0
Horacio Salgado Hou,9840,Horacio Salgado,Houston Astros,2,115,105,885,41,841,3,6,0,-0.5,99,18,945.2,5,423,24,22,9,9,6,5,0,0,0,0,0,10.3,0
Yaniery Leyva Mon,32058,Yaniery Leyva,Montreal Expos,2,108,105,886,61,818,7,7,0,0.6,129,28,937.2,2,438,28,28,5,5,9,8,0,0,0,0,0,6.6,0
Samuel Holloway Flo,11292,Samuel Holloway,Florida Marlins,2,107,107,850,69,776,5,6,0,0.7,100,22,934.1,3,476,21,21,8,8,5,4,1,1,0,0,0,11.5,0
