ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,AD,WE,INT,CON,BABIP,GAP,POW,EYE,K's,HT P,CON P,GAP P,POW P,EYE P,K P,SPE,RUN,G,GS,PA,AB,H,1B,2B,3B,HR,RBI,R,BB,BB%,IBB,HP,SH,SF,CI,SO,SO%,GIDP,AVG,OBP,SLG,OPS+,BABIP,wRC+,WAR,PI/PA,SB,CS,BatR,UBR,BsR,ZR,EFF
25224,ALEXANDER DOBBINS,ALEXANDER,DOBBINS,,ANA,MLB,30,12,49,49,N,N,N,45,50,50,55,60,45,50,45,50,55,60,45,50,60,65,65,275,246,63,41,10,1,11,37,37,23,8.4,3,5,0,1,0,70,25.5,4,.256,.331,.439,106,.313,105,0.3,4.12,4,2,1.8,-0.3,-1.2,0.2,1.003
30485,LUIS ENRIQUE GONZÁLEZ,LUIS ENRIQUE,GONZÁLEZ,,ANA,MLB,24,3,48,55,H,N,N,55,55,45,55,50,55,60,60,50,55,50,55,55,40,15,14,47,43,13,9,2,0,2,4,4,3,6.4,1,0,0,1,0,12,25.5,1,.302,.340,.488,121,.367,112,0.1,3.51,0,1,0.7,0.1,-0.5,-0.4,.960
23343,EASTON GREINER,EASTON,GREINER,,ANA,MLB,30,12,31,31,N,H,H,45,45,60,30,50,45,45,45,60,30,50,45,55,50,25,11,62,56,13,10,3,0,0,7,5,5,8.1,0,0,0,1,0,12,19.4,0,.232,.290,.286,58,.289,58,-0.1,4.08,1,0,-3.1,0.1,0.1,0.7,.985
11292,SAMUEL HOLLOWAY,SAMUEL,HOLLOWAY,,ANA,MLB,27,12,58,62,H,N,N,50,50,40,50,50,50,50,50,40,50,60,50,20,25,75,75,288,252,55,40,8,0,7,30,22,31,10.8,2,1,0,4,0,59,20.5,5,.218,.302,.333,72,.253,72,1.2,3.70,0,0,-9.6,-1.0,-1.0,2.3,.886
37207,ANTONIO ILACAD,ANTONIO,ILACAD,,ANA,MLB,23,7,51,51,N,H,H,50,55,65,50,60,50,55,55,65,50,60,55,55,55,91,91,422,364,92,49,22,4,17,48,59,50,11.8,2,6,1,2,0,99,23.5,5,.253,.351,.475,121,.300,123,1.9,4.06,7,5,11.8,0.3,-1.9,0.0,.988
27197,MICKEY KEOWN,MICKEY,KEOWN,,ANA,MLB,35,16,37,37,N,H,H,50,50,50,35,50,50,50,50,50,35,50,50,60,55,6,6,23,19,3,3,0,0,0,2,1,4,17.4,0,0,1,0,0,3,13.0,0,.158,.304,.158,32,.188,42,-0.2,4.04,1,0,-1.6,-0.6,-0.5,-1.1,.801
1970,CEDRIC MCCLINE,CEDRIC,MCCLINE,,ANA,MLB,29,14,41,41,L,N,H,45,50,45,50,65,45,50,45,45,50,65,45,45,35,43,30,147,122,31,18,6,0,7,22,19,24,16.3,0,0,0,1,0,38,25.9,6,.254,.374,.475,128,.308,134,0.9,4.22,0,0,6.0,-0.5,-0.5,-1.0,.979
21828,YORBIS MONTERO,YORBIS,MONTERO,,ANA,MLB,23,7,48,48,H,N,N,60,60,50,55,30,55,60,60,50,55,30,55,30,55,58,49,227,216,75,45,8,1,21,49,38,8,3.5,5,2,0,1,0,42,18.5,4,.347,.374,.685,178,.351,175,2.4,3.30,0,0,20.4,-0.8,-0.8,-2.1,.978
32669,JEB O'DOHERTY,JEB,O'DOHERTY,,ANA,MLB,29,13,45,45,H,H,N,50,50,50,45,45,55,50,50,55,45,45,55,50,55,92,92,345,321,84,54,17,2,11,42,45,19,5.5,2,3,0,2,0,50,14.5,5,.262,.307,.430,97,.279,96,1.5,3.46,2,2,-1.6,2.0,0.5,3.0,1.042
32513,JOSÉ PÉREZ,JOSÉ,PÉREZ,,ANA,MLB,29,13,43,43,N,N,N,55,50,50,40,45,60,50,55,50,40,45,60,55,70,65,65,261,247,68,51,12,1,4,20,24,12,4.6,1,1,1,1,0,33,12.6,7,.275,.310,.381,86,.303,85,0.2,3.48,15,9,-4.4,1.3,-0.5,-2.2,.987
