ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
36251,MONTEZ RUIZ,MONTEZ,RUIZ,,MON,A+,23,9,34,34,L,N,Normal,20,20,20,60,50,60,45,75,55,65,6,3,0,2,1,1,0,1,0,0.0,0,0,7.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0.0,0.0
37265,REDD STARKEY,REDD,STARKEY,,LAD,A+,23,7,32,37,H,N,Normal,20,20,20,65,65,60,50,35,45,55,6,28,18,73,46,25,2,6,0,-1.8,0,0,187.0,0,0,85.1%,47,40,57.1%,7,4,61.5%,13,8,15.4%,13,2,28.6%,7,2,4,0.0,0.0
10112,CARSON DAVISON,CARSON,DAVISON,,TEX,AA,32,16,28,28,L,N,Normal,20,20,20,65,75,75,80,20,50,65,6,9,2,16,11,5,0,2,0,0.3,0,0,26.0,0,0,100.0%,12,12,100.0%,1,1,0.0%,0,0,0.0%,3,0,100.0%,1,1,0,0.0,0.0
6259,NICKY SKAGGS,NICKY,SKAGGS,,MON,AA,24,9,35,38,L,N,Normal,20,20,20,65,60,75,70,40,50,70,6,35,15,91,54,35,2,10,0,-2.8,0,0,183.1,0,0,87.1%,62,54,25.0%,8,2,33.3%,12,4,33.3%,3,1,27.3%,11,3,4,0.0,0.0
13335,BEAU ALDAY,BEAU,ALDAY,,BAL,AAA,24,9,28,31,H,H,Humble,20,20,20,65,50,50,55,30,50,50,6,2,2,9,4,3,2,1,0,-1.6,0,0,17.0,0,0,62.5%,8,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,3,0,0,0.0,0.0
18647,XANDER BERGER,XANDER,BERGER,,TOR,AAA,27,11,39,39,H,N,Normal,20,20,20,55,60,60,65,40,65,55,6,2,0,1,1,0,0,0,0,-0.4,0,0,3.0,0,0,50.0%,2,1,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0.0,0.0
40279,RICO CARABALLO,RICO,CARABALLO,,CLE,AAA,24,4,34,45,N,N,Normal,20,20,20,70,55,65,60,55,50,65,6,10,7,33,21,11,1,6,0,0.4,0,0,62.0,0,0,94.4%,18,17,50.0%,2,1,75.0%,4,3,50.0%,4,2,20.0%,5,1,0,0.0,0.0
7639,RUBERTO DE LOERA,RUBERTO,DE LOERA,,KCM,AAA,29,14,37,38,N,N,Selfish,20,20,20,60,60,55,55,50,35,50,6,2,1,8,4,3,1,1,0,-0.4,0,0,10.1,0,0,66.7%,3,2,100.0%,1,1,100.0%,1,1,0.0%,1,0,0.0%,1,0,0,0.0,0.0
8638,D.J. FREDRICKSON,D.J.,FREDRICKSON,,NYY,AAA,28,12,38,38,N,N,Normal,60,60,55,70,60,55,50,40,55,45,6,2,2,4,3,0,1,0,0,-0.3,0,0,18.0,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,100.0%,1,1,0.0%,1,0,1,0.0,0.0
38322,SAMUEL FRIAS,SAMUEL,FRIAS,,STL,AAA,21,7,40,46,L,L,Unmotivated,20,20,20,65,75,55,65,35,70,40,6,2,2,12,7,5,0,1,0,0.1,0,0,17.0,0,0,100.0%,11,11,100.0%,1,1,0.0%,1,0,0.0%,0,0,0.0%,1,0,1,0.0,0.0
