ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
33412,SÍLVIO CHERUBINI,SÍLVIO,CHERUBINI,,OAK,A+,27,9,38,38,N,N,Normal,20,20,20,35,30,50,30,55,55,55,9,14,14,26,2,24,0,0,0,-2.5,0,0,121.0,0,0,89.5%,19,17,66.7%,6,4,100.0%,2,2,16.7%,6,1,0.0%,6,0,6,0.0,0.7
9863,WIATT RODRIGUEZ,WIATT,RODRIGUEZ,,SEA,A+,28,12,45,45,N,L,Normal,20,20,20,60,45,40,20,55,60,65,9,3,3,9,0,9,0,0,0,0.1,0,0,25.0,0,0,100.0%,4,4,100.0%,3,3,100.0%,2,2,0.0%,2,0,0.0%,1,0,4,0.0,-0.2
25412,STIG WOODS,STIG,WOODS,,CLE,AA,27,8,44,46,N,H,Normal,20,20,20,30,40,55,40,45,50,65,9,12,9,15,0,13,2,0,0,-1.5,0,0,82.2,0,0,91.7%,12,11,100.0%,1,1,50.0%,2,1,0.0%,2,0,0.0%,5,0,8,0.0,-0.1
22576,YORDENI APONTE,YORDENI,APONTE,,OAK,AAA,29,11,40,40,N,N,Normal,20,20,20,50,40,60,20,65,55,70,9,46,41,91,6,84,1,0,0,-0.2,0,0,377.2,0,0,100.0%,63,63,92.3%,13,12,33.3%,12,4,33.3%,12,4,5.6%,18,1,31,0.0,1.6
36295,LEONARDO BUSTOS,LEONARDO,BUSTOS,,PIT,AAA,24,9,47,47,H,N,Normal,20,25,25,40,35,55,20,60,65,65,9,37,37,89,3,85,1,0,0,1.9,0,0,320.1,0,0,100.0%,58,58,100.0%,18,18,75.0%,4,3,42.9%,7,3,16.7%,18,3,22,0.0,0.3
37668,O.J. EDWARDS,O.J.,EDWARDS,,CWS,AAA,26,3,49,56,N,N,Normal,20,20,20,25,20,40,20,60,55,50,9,7,0,3,0,3,0,0,0,-0.0,0,0,14.0,0,0,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0.0,0.0
27599,JAIR EPP,JAIR,EPP,,MIL,AAA,28,10,55,57,N,N,Outspoken,20,20,20,30,30,50,25,35,50,65,9,1,0,3,0,3,0,0,0,-0.0,0,0,3.0,0,0,100.0%,3,3,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
36162,ROGÉRIO GUZMAN,ROGÉRIO,GUZMAN,,TB,AAA,23,9,39,46,H,N,Captain,20,20,20,25,25,55,20,45,55,70,9,4,3,2,0,2,0,0,0,-0.6,0,0,30.0,0,0,100.0%,2,2,0.0%,0,0,0.0%,1,0,0.0%,1,0,0.0%,0,0,1,0.0,0.1
9230,ROBERT HALL,ROBERT,HALL,,CHC,AAA,29,11,35,35,N,N,Normal,20,20,20,55,45,60,50,70,65,70,9,1,0,1,0,1,0,0,0,0.6,0,0,2.0,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,100.0%,1,1,0,0.0,0.0
14079,TRENT HUTCHINS,TRENT,HUTCHINS,,CIN,AAA,27,8,41,42,H,H,Normal,20,20,20,50,50,50,20,50,55,65,9,3,2,4,0,4,0,0,0,-0.0,0,0,19.0,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
35004,JONATHAN JACOBS,JONATHAN,JACOBS,,FLA,AAA,25,10,38,41,N,N,Normal,20,20,20,30,30,50,20,50,50,60,9,5,5,11,1,10,0,0,0,-0.4,0,0,48.2,0,0,100.0%,8,8,50.0%,2,1,100.0%,1,1,0.0%,2,0,0.0%,2,0,3,0.0,0.6
37509,NATHAN LEWIN,NATHAN,LEWIN,,HOU,AAA,24,3,37,46,H,H,Normal,20,20,25,50,45,35,50,65,55,50,9,4,4,13,0,13,0,0,0,-0.1,0,0,33.0,0,0,100.0%,10,10,100.0%,3,3,0.0%,0,0,0.0%,1,0,0.0%,1,0,4,0.0,-0.0
22385,HARRY MOSTILLER,HARRY,MOSTILLER,,ANA,AAA,26,8,43,44,N,H,Normal,20,20,20,55,65,70,35,45,50,65,9,2,2,4,0,3,1,0,0,-1.1,0,0,17.0,0,0,100.0%,2,2,50.0%,2,1,0.0%,2,0,0.0%,1,0,0.0%,0,0,1,0.0,0.3
28551,MATTHEW NAVAS,MATTHEW,NAVAS,,HOU,AAA,30,12,41,41,N,H,Normal,20,20,20,25,25,55,20,50,50,70,9,2,2,4,0,4,0,0,0,-0.2,0,0,17.0,0,0,100.0%,2,2,50.0%,2,1,0.0%,0,0,50.0%,2,1,0.0%,1,0,0,0.0,0.3
7889,JEREMY OLSON,JEREMY,OLSON,,NYY,AAA,27,8,45,46,N,N,Normal,20,20,20,35,35,50,35,45,45,60,9,6,0,5,0,5,0,0,0,-0.1,0,0,20.2,0,0,100.0%,5,5,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,1,0.0,0.0
14764,CORY PETERSON,CORY,PETERSON,,SEA,AAA,31,12,45,45,H,N,Normal,20,20,20,40,40,50,20,45,50,70,9,14,7,13,0,13,0,0,0,-1.1,0,0,84.0,0,0,90.9%,11,10,100.0%,2,2,0.0%,1,0,20.0%,5,1,0.0%,1,0,5,0.0,-0.2
36298,SAMUEL PEÑA,SAMUEL,PEÑA,,CLE,AAA,23,9,46,52,N,N,Prankster,20,20,20,30,30,50,20,45,40,70,9,2,2,4,0,4,0,0,0,-0.7,0,0,18.0,0,0,100.0%,4,4,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,1,0.0,-0.1
8206,R.J. PICASSO,R.J.,PICASSO,,CLE,AAA,24,9,42,52,N,N,Selfish,20,20,20,30,35,50,20,55,55,60,9,12,11,21,1,20,0,0,0,-1.6,0,0,94.0,0,0,100.0%,16,16,80.0%,5,4,0.0%,3,0,0.0%,3,0,0.0%,1,0,5,0.0,-0.7
