ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
27197,MICKEY KEOWN,MICKEY,KEOWN,,ANA,MLB,35,16,37,37,H,H,Normal,20,20,20,40,50,60,35,20,40,60,5,6,6,10,7,1,2,2,0,-1.1,0,0,52.0,0,0,66.7%,6,4,100.0%,3,3,50.0%,2,1,0.0%,0,0,0.0%,1,0,0,0.0,0.0
22253,BEVAN MATTHEWS,BEVAN,MATTHEWS,,KCR,MLB,23,8,41,41,N,N,Normal,20,20,20,55,70,50,75,50,65,45,5,26,24,60,46,12,2,1,0,-0.7,0,0,201.1,0,0,96.0%,50,48,100.0%,8,8,40.0%,5,2,0.0%,1,0,0.0%,3,0,0,0.0,0.0
22635,TOMAS AGUAYO,TOMAS,AGUAYO,,FLA,MLB,24,8,46,46,N,L,Normal,20,20,20,50,55,75,45,50,45,70,5,88,88,204,152,45,7,13,0,0.9,0,0,799.1,0,0,93.3%,150,140,92.3%,26,24,52.9%,17,9,56.2%,16,9,42.1%,19,8,3,0.0,0.0
30279,CHARLIE AIRD,CHARLIE,AIRD,,CIN,MLB,28,10,43,44,N,N,Normal,20,20,20,55,60,60,70,45,45,55,5,8,8,19,13,6,0,1,0,-0.3,0,0,71.1,0,0,100.0%,14,14,100.0%,4,4,0.0%,2,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
36248,NICOLAS ANGUIANO,NICOLAS,ANGUIANO,,NYM,MLB,24,9,42,42,H,N,Captain,20,20,20,50,45,65,45,65,50,70,5,9,9,19,11,7,1,0,0,0.4,0,0,83.0,0,0,100.0%,14,14,100.0%,2,2,50.0%,2,1,100.0%,1,1,0.0%,0,0,0,0.0,0.0
28527,SCOT ANTONELLI,SCOT,ANTONELLI,,KCM,MLB,35,17,47,47,N,N,Normal,20,20,20,35,45,55,40,25,40,50,5,5,5,19,14,3,2,2,0,-1.4,0,0,48.1,0,0,85.7%,14,12,62.5%,8,5,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.0
14700,ROB BABANGIDA,ROB,BABANGIDA,,SF,MLB,34,19,26,26,H,N,Sparkplug,20,20,20,65,75,75,75,55,75,70,5,17,10,23,17,5,1,2,0,-0.4,0,0,94.0,0,0,86.7%,15,13,100.0%,3,3,100.0%,3,3,50.0%,2,1,0.0%,4,0,0,0.0,0.0
24430,FELIPE BARRETO,FELIPE,BARRETO,,SD,MLB,25,7,43,43,N,L,Normal,20,20,20,65,55,60,40,40,50,55,5,41,20,48,37,7,4,2,0,-0.6,0,0,193.0,0,0,89.3%,28,25,88.9%,9,8,100.0%,5,5,100.0%,2,2,10.0%,10,1,0,0.0,0.0
27873,RAMIN BENT,RAMIN,BENT,,SEA,MLB,26,8,41,43,L,N,Disruptive,20,20,20,55,60,60,50,40,60,60,5,16,15,37,26,8,3,4,0,-1.4,0,0,136.2,0,0,96.3%,27,26,66.7%,6,4,100.0%,1,1,0.0%,2,0,0.0%,2,0,1,0.0,0.0
28535,CARL BERGGREN,CARL,BERGGREN,,CWS,MLB,26,8,45,53,N,N,Normal,20,20,20,40,40,70,50,30,40,70,5,21,3,18,14,2,2,0,0,-0.8,0,0,66.0,0,0,84.6%,13,11,50.0%,4,2,100.0%,1,1,100.0%,1,1,100.0%,1,1,0,0.0,0.0
40885,GERARDO BIANCHI,GERARDO,BIANCHI,,BOS,MLB,25,2,36,45,N,N,Prankster,20,25,20,75,75,70,70,45,50,70,5,3,2,5,5,0,0,1,0,0.1,0,0,18.0,0,0,100.0%,4,4,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37188,EUGENE BLUMER,EUGENE,BLUMER,,SF,MLB,23,7,44,45,N,H,Normal,20,20,20,45,55,65,40,20,40,65,5,63,62,117,87,27,3,5,0,-3.7,0,0,554.1,0,0,92.9%,85,79,84.6%,26,22,50.0%,10,5,60.0%,5,3,0.0%,20,0,2,0.0,0.0
23192,DAN BRINKMAN,DAN,BRINKMAN,,TEX,MLB,24,8,45,47,N,N,Normal,30,30,25,65,55,80,45,55,55,80,5,16,9,27,19,6,2,2,0,-0.7,0,0,89.0,0,0,86.4%,22,19,100.0%,3,3,100.0%,1,1,50.0%,4,2,0.0%,1,0,2,0.0,0.0
34900,WAYNE BROBERG,WAYNE,BROBERG,,MIN,MLB,25,10,32,34,N,N,Captain,20,20,20,65,80,65,80,40,80,55,5,9,6,19,11,8,0,2,0,0.2,0,0,57.0,0,0,100.0%,14,14,100.0%,4,4,0.0%,0,0,0.0%,2,0,0.0%,0,0,0,0.0,0.0
33700,ZACH BRUBAKER,ZACH,BRUBAKER,,PHI,MLB,22,3,48,80,N,N,Humble,20,20,20,70,70,70,75,50,55,70,5,1,1,2,2,0,0,0,0,-0.2,0,0,9.0,0,0,100.0%,2,2,0.0%,1,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
35904,JUAN CALDERON,JUAN,CALDERON,,CLE,MLB,21,6,47,49,H,N,Humble,20,20,20,65,65,65,50,50,65,65,5,77,77,172,128,39,5,14,0,1.7,0,0,650.1,0,0,94.8%,115,109,90.3%,31,28,80.0%,20,16,20.0%,5,1,33.3%,15,5,3,0.0,0.0
24263,HUGO CASTILLO,HUGO,CASTILLO,,KCM,MLB,23,9,35,37,L,L,Normal,20,20,20,70,60,70,65,55,50,70,5,4,3,4,3,1,0,0,0,0.0,0,0,28.0,0,0,100.0%,4,4,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,1,0,0,0.0,0.0
37242,STEVE CAULFIELD,STEVE,CAULFIELD,,MIL,MLB,25,3,80,80,N,N,Normal,20,25,25,65,60,60,65,35,65,60,5,2,2,5,4,1,0,1,0,0.2,0,0,18.0,0,0,100.0%,3,3,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
40231,HSIEH CHIOU,HSIEH,CHIOU,,CHC,MLB,27,11,61,65,L,N,Disruptive,20,25,20,45,45,55,45,55,70,75,5,8,8,22,16,5,1,2,0,0.1,0,0,68.1,0,0,93.3%,15,14,100.0%,4,4,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
25504,DWIGHT CLAGETT,DWIGHT,CLAGETT,,HOU,MLB,28,10,38,39,N,N,Normal,20,20,20,70,65,60,75,65,50,60,5,1,1,5,4,1,0,0,0,0.2,0,0,9.0,0,0,100.0%,2,2,100.0%,2,2,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
35539,EDDIE COONEY,EDDIE,COONEY,,TB,MLB,27,9,27,28,N,N,Normal,20,20,20,65,70,70,75,50,35,65,5,7,2,8,4,4,0,0,0,-0.1,0,0,39.0,0,0,100.0%,6,6,100.0%,2,2,0.0%,1,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
13487,MAX CORONADO,MAX,CORONADO,,TEX,MLB,26,11,38,42,H,N,Normal,20,20,20,60,50,75,45,70,55,80,5,8,6,12,11,1,0,0,0,0.4,0,0,53.2,0,0,100.0%,6,6,100.0%,3,3,0.0%,1,0,66.7%,3,2,50.0%,2,1,0,0.0,0.0
29957,PARKER COTÉ,PARKER,COTÉ,,MON,MLB,29,10,47,48,L,H,Normal,20,20,20,50,55,80,40,55,45,75,5,80,72,180,137,39,4,8,0,3.5,0,0,653.1,0,0,97.2%,108,105,85.0%,40,34,78.9%,19,15,52.2%,23,12,28.6%,14,4,1,0.0,0.0
37614,JACKSON CUNNINGHAM,JACKSON,CUNNINGHAM,,MIN,MLB,22,7,48,77,L,N,Normal,20,20,20,60,60,55,55,45,45,55,5,35,35,77,58,16,3,1,0,-0.7,0,0,298.0,0,0,94.3%,53,50,90.0%,10,9,60.0%,10,6,71.4%,7,5,8.3%,12,1,2,0.0,0.0
33512,GUNNAR D'AREZZO,GUNNAR,D'AREZZO,,TOR,MLB,27,12,48,52,N,N,Normal,20,20,20,60,65,60,60,55,55,50,5,7,0,2,0,2,0,0,0,-0.4,0,0,12.0,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,1,0,0.0%,0,0,0,0.0,0.0
23340,PEDRO DENIZ,PEDRO,DENIZ,,COL,MLB,29,13,40,41,N,H,Normal,20,20,20,60,50,55,50,50,45,60,5,14,12,35,24,9,2,1,0,-0.4,0,0,111.0,0,0,96.4%,28,27,80.0%,5,4,100.0%,1,1,0.0%,1,0,0.0%,1,0,0,0.0,0.0
27585,JIM DIAL,JIM,DIAL,,BOS,MLB,34,16,42,42,N,H,Normal,20,20,20,35,55,60,40,40,55,50,5,19,17,31,24,6,1,3,0,0.1,0,0,142.0,0,0,100.0%,20,20,50.0%,8,4,100.0%,3,3,0.0%,0,0,50.0%,2,1,1,0.0,0.0
6703,CRAIG DURGA,CRAIG,DURGA,,WAS,MLB,24,9,41,41,H,N,Sparkplug,20,20,20,65,80,65,80,30,55,60,5,6,6,13,7,4,2,1,0,-1.8,0,0,52.0,0,0,83.3%,6,5,40.0%,5,2,66.7%,3,2,0.0%,2,0,0.0%,2,0,0,0.0,0.0
37121,ROBERTO ESPINOZA,ROBERTO,ESPINOZA,,NYM,MLB,22,3,48,48,L,H,Disruptive,25,25,25,45,55,65,40,30,45,65,5,85,84,190,138,48,4,22,0,-1.7,0,0,743.2,0,0,94.1%,136,128,93.9%,33,31,66.7%,21,14,21.4%,14,3,23.8%,21,5,0,0.0,0.0
