ID,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,POS,G,GS,TC,A,PO,E,DP,TP,ZR,SBA,RTO,IP,PB,CER,BIZ-R%,BIZ-R,BIZ-Rm,BIZ-L%,BIZ-L,BIZ-Lm,BIZ-E%,BIZ-E,BIZ-Em,BIZ-U%,BIZ-U,BIZ-Um,BIZ-Z%,BIZ-Z,BIZ-Zm,BIZ-I,FRM,ARM
36251,MONTEZ RUIZ,MONTEZ,RUIZ,,MON,A+,23,9,34,34,L,N,Normal,20,20,20,60,50,60,45,75,55,65,4,2,0,1,1,0,0,0,0,0.1,0,0,2.0,0,0,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37265,REDD STARKEY,REDD,STARKEY,,LAD,A+,23,7,32,37,H,N,Normal,20,20,20,65,65,60,50,35,45,55,4,1,1,4,3,1,0,0,0,-0.1,0,0,9.0,0,0,66.7%,3,2,0.0%,0,0,0.0%,0,0,0.0%,0,0,50.0%,2,1,0,0.0,0.0
13335,BEAU ALDAY,BEAU,ALDAY,,BAL,AAA,24,9,28,31,H,H,Humble,20,20,20,65,50,50,55,30,50,50,4,1,0,1,1,0,0,1,0,0.3,0,0,1.0,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0.0%,0,0,0.0%,0,0,0,0.0,0.0
38854,SILVANO BACA,SILVANO,BACA,,SF,AAA,25,2,37,65,N,N,Normal,20,20,25,55,60,50,60,30,65,40,4,14,13,51,30,21,0,7,0,-2.2,0,0,113.0,0,0,89.7%,29,26,50.0%,6,3,20.0%,5,1,12.5%,8,1,0.0%,7,0,3,0.0,0.0
18647,XANDER BERGER,XANDER,BERGER,,TOR,AAA,27,11,39,39,H,N,Normal,20,20,20,55,60,60,65,40,65,55,4,4,3,11,5,6,0,2,0,-0.2,0,0,24.1,0,0,100.0%,3,3,75.0%,4,3,0.0%,2,0,0.0%,1,0,25.0%,4,1,0,0.0,0.0
40279,RICO CARABALLO,RICO,CARABALLO,,CLE,AAA,24,4,34,45,N,N,Normal,20,20,20,70,55,65,60,55,50,65,4,1,1,7,6,1,0,0,0,0.2,0,0,9.0,0,0,100.0%,6,6,0.0%,1,0,0.0%,0,0,50.0%,2,1,0.0%,0,0,1,0.0,0.0
7639,RUBERTO DE LOERA,RUBERTO,DE LOERA,,KCM,AAA,29,14,37,38,N,N,Selfish,20,20,20,60,60,55,55,50,35,50,4,8,3,18,9,9,0,2,0,0.6,0,0,34.2,0,0,100.0%,9,9,100.0%,3,3,0.0%,2,0,0.0%,1,0,100.0%,1,1,0,0.0,0.0
32880,RAÚL DELGADO,RAÚL,DELGADO,,HOU,AAA,25,11,37,39,L,N,Normal,20,20,20,55,65,60,55,50,60,50,4,1,1,5,2,2,1,1,0,-0.3,0,0,8.2,0,0,100.0%,2,2,0.0%,0,0,50.0%,2,1,0.0%,0,0,0.0%,1,0,0,0.0,0.0
38322,SAMUEL FRIAS,SAMUEL,FRIAS,,STL,AAA,21,7,40,46,L,L,Unmotivated,20,20,20,65,75,55,65,35,70,40,4,1,1,4,2,2,0,0,0,0.2,0,0,9.0,0,0,100.0%,3,3,0.0%,0,0,100.0%,1,1,0.0%,0,0,0.0%,0,0,0,0.0,0.0
37630,KALVIN GREEN,KALVIN,GREEN,,SF,AAA,23,7,47,47,H,N,Normal,20,20,20,50,45,35,45,35,40,25,4,9,3,17,9,8,0,2,0,-0.5,0,0,33.0,0,0,92.9%,14,13,100.0%,1,1,0.0%,2,0,0.0%,1,0,0.0%,3,0,0,0.0,0.0
