ID,RL,Name,First Name,Last Name,Mor,ORG,Lev,Age,EXP,OVR,POT,WE,INT,Type,STU,MOV,CON,PBABIP,HRR,STU P,MOV P,CON P,PBABIP P,HRR P,VELO,G,GS,W,L,IP,BF,AB,HA,1B,2B,3B,HR,R,ER,BB,IBB,K,HP,ERA,BABIP,WHIP,K/9,BB/9,HR/9,K/BB,K%-BB%,SH,SF,WP,BK,CI,DP,IR,IRS,PI,GB,FB,SB,CS,ERA+,FIP,FIP-,WAR
24728,-,JOE LUND,JOE,LUND,,BOS,MLB,31,13,50,48,H,N,Normal,45,50,50,50,45,45,50,50,50,45,93-95,3,0,0,0,2.1,7,7,1,1,0,0,0,0,0,0,0,1,0,0.00,.167,0.43,3.9,0.0,0.0,0.0,14.3,0,0,0,0,0,1,4,0,30,2,3,0,0,999,2.49,57,0.1
33875,-,JOHN BLANCHARD,JOHN,BLANCHARD,,CLE,MLB,26,3,60,65,N,H,Normal,45,50,50,50,50,55,50,50,50,50,94-96,20,8,1,5,55.1,251,232,68,39,15,1,13,46,40,17,0,53,2,6.51,.331,1.54,8.6,2.8,2.1,3.1,14.3,0,0,3,0,0,3,9,4,921,58,51,8,1,65,5.51,131,-0.3
30119,CL,JAXON BREWER,JAXON,BREWER,,HOU,MLB,26,8,41,41,N,N,Normal,40,55,55,50,55,40,55,55,50,55,88-90,28,0,1,1,33.1,149,133,39,26,8,0,5,23,22,12,1,22,4,5.94,.321,1.53,5.9,3.2,1.3,1.8,6.7,0,0,3,0,0,5,13,7,526,38,32,5,0,75,5.32,119,-0.2
14405,CL,DRAKE CARRANZA,DRAKE,CARRANZA,,TOR,MLB,25,9,47,47,N,N,Normal,50,50,50,50,50,50,50,55,50,50,97-99,41,0,0,3,38.1,174,152,39,25,10,2,2,21,18,17,3,43,3,4.23,.346,1.46,10.1,4.0,0.5,2.5,14.9,2,0,3,1,0,2,17,3,668,33,36,10,0,103,3.11,71,1.0
41136,CL,GABRIEL CATALAN,GABRIEL,CATALAN,,MON,MLB,32,17,72,72,N,L,Outspoken,60,60,65,55,60,60,60,65,55,60,94-96,59,0,3,1,69.0,263,246,47,31,12,0,4,20,18,10,0,66,2,2.35,.238,0.83,8.6,1.3,0.5,6.6,21.3,0,5,1,2,0,8,18,2,997,62,71,2,0,184,2.71,62,1.7
14816,CL,WADE COLVIN,WADE,COLVIN,,HOU,MLB,32,17,55,55,N,H,Captain,55,55,60,55,55,55,55,60,55,55,95-97,36,0,4,2,33.1,142,133,38,20,9,0,9,20,20,6,0,37,0,5.40,.326,1.32,10.0,1.6,2.4,6.2,21.8,1,2,0,0,0,3,26,7,518,29,31,1,0,82,5.17,116,-0.2
38809,CL,CORENTIN DU PONT,CORENTIN,DU PONT,,NYY,MLB,21,3,55,55,N,N,Normal,70,50,50,50,50,70,50,50,50,50,97-99,45,0,2,1,45.2,202,182,47,29,9,1,8,27,24,17,0,51,1,4.73,.312,1.40,10.1,3.4,1.6,3.0,16.8,0,2,7,0,0,0,24,10,751,37,48,11,1,92,4.57,105,0.0
41142,CL,ALONSO GARZA,ALONSO,GARZA,,CLE,MLB,29,11,52,52,N,N,Prankster,65,55,45,55,55,70,55,45,55,55,96-98,37,0,2,5,33.2,152,135,36,24,8,1,3,19,15,16,3,41,0,4.01,.359,1.54,11.0,4.3,0.8,2.6,16.4,0,1,2,0,0,2,5,0,572,28,28,2,1,105,3.23,76,0.7
34384,CL,HIRAM GONZALEZ,HIRAM,GONZALEZ,,CIN,MLB,26,3,42,42,N,N,Normal,60,50,40,50,50,60,55,40,50,55,94-96,48,0,1,3,41.0,183,159,42,26,10,1,5,15,12,23,1,34,0,2.63,.306,1.59,7.5,5.0,1.1,1.5,6.0,0,1,2,0,0,3,23,9,678,42,38,3,3,166,4.88,111,-0.1
27815,CL,JIM HAMMOND,JIM,HAMMOND,,KCM,MLB,34,16,54,54,N,L,Normal,50,55,60,55,55,50,55,60,55,55,94-96,31,0,0,2,32.1,125,119,20,13,6,0,1,9,8,5,0,37,1,2.23,.235,0.77,10.3,1.4,0.3,7.4,25.6,0,0,0,0,0,1,0,0,484,28,30,1,1,196,2.02,46,1.5
11410,CL,AARON HEIFETZ,AARON,HEIFETZ,,TEX,MLB,33,14,49,49,N,L,Normal,65,50,50,55,45,65,50,50,55,45,93-95,41,0,2,4,46.1,201,178,45,30,12,0,3,23,23,22,1,53,1,4.47,.344,1.45,10.3,4.3,0.6,2.4,15.4,0,0,0,0,0,5,7,0,709,39,40,2,1,96,3.32,77,1.2
17138,CL,HUDSON HOYLE,HUDSON,HOYLE,,MIL,MLB,35,16,53,53,N,N,Normal,50,55,60,55,50,50,55,60,55,50,97-99,22,0,2,4,22.1,103,89,26,13,10,0,3,10,9,10,2,15,3,3.63,.319,1.61,6.0,4.0,1.2,1.5,4.9,0,1,1,0,0,3,11,3,363,27,21,3,0,119,5.23,121,-0.2
30478,CL,MATT KARD,MATT,KARD,,NYY,MLB,29,10,53,54,H,L,Captain,55,60,45,60,60,65,60,45,60,65,92-94,24,19,4,9,102.0,440,388,100,66,23,2,9,57,57,46,0,88,3,5.03,.311,1.43,7.8,4.1,0.8,1.9,9.5,1,2,4,1,0,13,0,0,1686,94,105,12,1,86,4.21,96,1.4
35852,CL,BROOKS KLECKLEY,BROOKS,KLECKLEY,,BOS,MLB,22,3,71,71,H,N,Normal,50,60,65,55,60,65,60,65,55,60,92-94,52,0,3,4,59.0,263,243,75,61,7,2,5,38,37,19,1,45,0,5.64,.361,1.59,6.9,2.9,0.8,2.4,9.9,0,1,2,0,0,4,20,7,955,56,65,8,5,76,3.84,89,0.6
18040,CL,ETHAN LEAVITT,ETHAN,LEAVITT,,MIL,MLB,36,17,53,53,N,N,Normal,50,55,65,55,55,50,55,65,55,55,93-95,38,0,2,3,38.0,139,125,20,12,4,0,4,10,10,11,0,32,2,2.37,.180,0.82,7.6,2.6,0.9,2.9,15.1,1,0,0,1,0,7,23,3,501,31,42,3,0,182,4.06,94,0.3
17201,CL,MOE LEIBHART,MOE,LEIBHART,,MIL,MLB,34,15,62,62,N,N,Selfish,50,60,55,55,60,50,60,55,55,60,95-97,45,0,4,1,54.2,239,221,62,41,13,1,7,29,28,15,0,44,2,4.61,.322,1.41,7.2,2.5,1.2,2.9,12.1,0,1,3,0,0,3,38,12,861,63,51,10,1,94,4.33,100,0.2
34991,CL,OWEN LONG,OWEN,LONG,,MON,MLB,21,3,66,66,N,H,Normal,65,55,60,55,55,65,55,60,55,55,94-96,55,0,4,4,55.2,235,220,58,39,10,2,7,26,25,13,2,58,0,4.04,.325,1.28,9.4,2.1,1.1,4.5,19.1,0,2,0,0,0,3,14,5,876,41,64,7,1,107,3.49,80,0.9
